time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,-0.049544802,-0.131690873,0.220363774,-0.049734548,-0.124528714,0.230768340,-0.032872081,-0.096563512,0.143581633,-0.032990193,-0.079294119,0.133773293
0.016666667,-0.000254304,0.000068864,0.300458537,0.999999929,0.000229411,-0.000278650,0.000108256,-0.030771120,0.008240386,0.053617016,0.049720891,-0.068857600,0.024304271,-0.001659190,0.769708497,-1.575472980,0.000004535,0.769827866,-1.575299571,-0.001381312,0.805632973,-1.576752682,0.000283607,0.805920796,-1.576916155,-0.085905900,-0.252099369,0.426777887,-0.086272899,-0.242851681,0.451198332,-0.057100702,-0.174880300,0.259746139,-0.057320412,-0.148154503,0.249064269
0.033333333,-0.001034193,0.000273905,0.301740321,0.999998958,0.000739788,-0.001180633,0.000377321,-0.063070292,0.016341324,0.098789789,0.067452481,-0.149604289,0.038574267,-0.003696974,0.763500033,-1.564919780,-0.002042320,0.763808289,-1.564105765,-0.002736800,0.801413021,-1.570487505,-0.001077237,0.802303881,-1.570843567,-0.138682313,-0.476252793,0.820579447,-0.139363524,-0.470490855,0.878450449,-0.092562590,-0.304051922,0.451613028,-0.092952847,-0.270126421,0.452590136
0.050000000,-0.002365136,0.000612800,0.303704617,0.999995004,0.001264641,-0.002805116,0.000723825,-0.096897515,0.024302814,0.135518317,0.053250296,-0.242283563,0.042712851,-0.006281934,0.753833404,-1.548120332,-0.004640916,0.754144838,-1.546017889,-0.004466731,0.795497909,-1.561698915,-0.002814821,0.796916582,-1.561829817,-0.151428393,-0.667423676,1.178349342,-0.152304118,-0.680561179,1.280878593,-0.101938978,-0.378216141,0.562990746,-0.102409417,-0.360501797,0.602635655
0.066666667,-0.004272600,0.001083224,0.306210686,0.999984463,0.001537477,-0.005251703,0.001063252,-0.132252789,0.032124856,0.163802601,0.007124020,-0.346969066,0.036345951,-0.008744587,0.741252577,-1.525641469,-0.007119124,0.741122916,-1.521409812,-0.006134766,0.788805817,-1.551721147,-0.004490884,0.790287155,-1.550755712,-0.123937125,-0.826359168,1.503624414,-0.124820706,-0.874110335,1.663221817,-0.084991414,-0.397321974,0.594394676,-0.085389497,-0.419218633,0.700266055
0.083333333,-0.006782051,0.001682853,0.309117791,0.999961155,0.001291203,-0.008620413,0.001307758,-0.169136115,0.039807450,0.183642641,-0.070976684,-0.463710592,0.018758902,-0.010413172,0.726288098,-1.497999518,-0.008801606,0.725007827,-1.490577162,-0.007299779,0.782253843,-1.541885759,-0.005661138,0.782942628,-1.538487615,-0.056094317,-0.953959566,1.799051253,-0.056780751,-1.052605500,2.030280486,-0.041403513,-0.361631436,0.545889550,-0.041497885,-0.446587216,0.746295614
0.100000000,-0.009918959,0.002409364,0.312285195,0.999914388,0.000257385,-0.013011169,0.001363458,-0.207547493,0.047350596,0.195038436,-0.181170419,-0.592480031,-0.011167029,-0.010614397,0.709453925,-1.465673094,-0.009011815,0.706036066,-1.453733796,-0.007514883,0.776751435,-1.533524828,-0.005874147,0.775400914,-1.525879192,0.045788009,-1.061248673,2.068377739,0.045415713,-1.224087581,2.384630055,0.025351514,-0.292171085,0.439723852,0.025835521,-0.458245641,0.756462062
0.116666667,-0.013718610,0.003247710,0.315616166,0.999828547,-0.001728643,-0.018399347,0.001162601,-0.249254475,0.052464419,0.205910984,-0.285754863,-0.688631035,-0.041577790,-0.008886905,0.690913143,-1.429053593,-0.007287749,0.684204907,-1.411089493,-0.006454728,0.772514807,-1.527228297,-0.004799954,0.767667773,-1.513272213,0.149549833,-1.198825308,2.322496164,0.149392912,-1.420459439,2.718641163,0.096459776,-0.291561823,0.387796795,0.097622239,-0.529257141,0.807052708
0.133333333,-0.018255570,0.004131960,0.319189993,0.999695533,-0.004408933,-0.024265268,0.000774338,-0.296024614,0.052859042,0.224181278,-0.346809195,-0.707604511,-0.058702636,-0.005629403,0.669493081,-1.388256555,-0.004032051,0.658687418,-1.363112424,-0.004299558,0.767032708,-1.520598269,-0.002620072,0.757759009,-1.498977435,0.222445126,-1.416632171,2.573741700,0.222230013,-1.672185924,3.023952451,0.153001283,-0.462382352,0.504744224,0.154588297,-0.734228642,0.977069551
0.150000000,-0.023614226,0.004983461,0.323129973,0.999523332,-0.007417342,-0.029966543,0.000313582,-0.347857911,0.048534465,0.249849319,-0.364108684,-0.649512419,-0.060704016,-0.001472067,0.643692070,-1.343262203,0.000119918,0.628465377,-1.310291078,-0.001354685,0.757102062,-1.510403490,0.000352990,0.743193485,-1.480703228,0.256811358,-1.724769166,2.829183913,0.229530356,-0.666347752,1.528824771,0.166742842,0.308971961,-0.420933832,0.192445970,-1.088199547,1.289439373
0.166666667,-0.029878963,0.005723558,0.327559402,0.999338144,-0.010384757,-0.034862912,-0.000089226,-0.404754365,0.039490689,0.282915107,-0.337473858,-0.514519852,-0.045632428,0.002930976,0.612000775,-1.293950424,0.003618960,0.636475827,-1.312151598,0.001258537,0.777331773,-1.534629396,0.003794794,0.721485691,-1.455996122,0.251054228,-2.124412193,3.095739340,0.145132681,2.424445531,-2.786329809,0.113059024,2.761446236,-3.081176779,0.209899499,-1.592199093,1.756831274
0.183333333,-0.037134167,0.006273599,0.332601576,0.999181821,-0.012940085,-0.038316558,-0.000289030,-0.466713977,0.025727713,0.323378641,-0.266904462,-0.302744163,-0.011988317,0.006896407,0.572878330,-1.240070892,0.004957674,0.709280228,-1.403168739,0.002413949,0.849150270,-1.613109382,0.007349640,0.690120182,-1.422142186,0.203263948,-2.618595141,3.382603543,-0.001866331,5.526213093,-6.828864329,0.022434066,5.188983399,-5.356965061,0.204273338,-2.249971044,2.399980237
0.200000000,-0.045464224,0.006554931,0.338379789,0.999103667,-0.014712367,-0.039691195,-0.000131652,-0.533736747,0.007245538,0.371239923,-0.152681387,-0.014154276,0.040718738,0.009706441,0.524714271,-1.181196973,0.003556749,0.820682930,-1.539780409,0.002006339,0.950297887,-1.713194898,0.010603905,0.646486656,-1.375996781,0.117127661,-3.196376740,3.703542006,-0.171914226,7.173172466,-8.424484849,-0.059179024,6.336960562,-5.809788968,0.173839740,-3.040454562,3.220280611
0.216666667,-0.054925585,0.006507988,0.344945056,0.999135987,-0.015428882,-0.038587480,0.000485282,-0.600794265,-0.012519859,0.413488216,-0.028932747,0.265585485,0.093107677,0.010800662,0.466332439,-1.116619492,-0.000772800,0.948385976,-1.683984900,0.000441315,1.060382288,-1.806769015,0.013144298,0.588771696,-1.314799498,0.020373872,-3.783214776,4.080928692,-0.319053239,7.603152270,-8.037881007,-0.099587608,6.366592842,-4.880952491,0.127348909,-3.826542301,4.095438048
0.233333333,-0.065462957,0.006149562,0.352059264,0.999251089,-0.015201279,-0.035553940,0.001448832,-0.662858125,-0.030132498,0.437112784,0.070625381,0.450771395,0.125271160,0.010385570,0.398607112,-1.045166017,-0.007078359,1.074121339,-1.807709776,-0.001313248,1.162517648,-1.875893315,0.014848868,0.518935246,-1.239482180,-0.057418733,-4.308543490,4.543406995,-0.387359450,6.890512306,-6.227344082,-0.079969486,5.341899838,-3.075148720,0.077534441,-4.471029306,4.886742053
0.250000000,-0.076993113,0.005515531,0.359412017,0.999402947,-0.014235802,-0.031375254,0.002585346,-0.719928325,-0.045592379,0.442113627,0.146384424,0.541399402,0.136706865,0.008886705,0.322714323,-0.965172592,-0.013684782,1.178069720,-1.891563036,-0.002224335,1.238445616,-1.909273972,0.015728779,0.439737386,-1.151908097,-0.108586550,-4.775138497,5.128561460,-0.342738684,4.867238279,-3.438199575,-0.010092680,3.191049417,-0.725762362,0.030867756,-4.954344648,5.564639831
0.266666667,-0.089432825,0.004641776,0.366692920,0.999551784,-0.012734776,-0.026836845,0.003720225,-0.772004867,-0.058899504,0.428490746,0.198979660,0.537326041,0.127799317,0.006766018,0.239435828,-0.874213968,-0.018502981,1.236362615,-1.922316428,-0.001649670,1.268885962,-1.900085394,0.015877794,0.353790425,-1.053994185,-0.130764659,-5.216719562,5.902528864,-0.189199570,1.572681199,0.164636659,0.071771181,0.139576496,2.086788139,-0.007503705,-5.282441313,6.120256307
0.283333333,-0.102698866,0.003564174,0.373591577,0.999671379,-0.010895330,-0.022726203,0.004684502,-0.819087750,-0.070053870,0.396244140,0.229062000,0.438337736,0.099447991,0.004527883,0.148823671,-0.768421630,-0.019991434,1.230492427,-1.886075148,0.000168038,1.243098166,-1.839714367,0.015478655,0.263656009,-0.947899553,-0.121347875,-5.704537558,7.006462940,-0.022453821,-1.519133656,4.588574310,0.100946291,-2.356153768,5.521293370,-0.032388257,-5.453285130,6.529705618
0.300000000,-0.116708008,0.002318606,0.379797593,0.999749452,-0.008910124,-0.019833264,0.005318410,-0.861176973,-0.079055480,0.345373809,0.237054053,0.244217304,0.052694076,0.002721089,0.049284576,-0.640665203,-0.019251442,1.185724826,-1.769363952,0.001715206,1.190347503,-1.716042281,0.014798185,0.172014254,-0.836337331,-0.081578529,-6.431123965,8.796390388,0.074413948,-3.648704117,9.018438624,0.064902411,-3.730042256,8.896388440,-0.040510328,-5.471360303,6.766445196
0.316666667,-0.131372564,0.000938641,0.385004498,0.999784722,-0.006936266,-0.018762450,0.005510717,-0.897470001,-0.086320275,0.276586451,0.234475460,0.022534758,0.002014372,0.001808598,-0.065547128,-0.475208617,-0.017510969,1.108868956,-1.585460527,0.002331452,1.118763424,-1.543168086,0.014128311,0.081277332,-0.722351380,-0.028553914,-8.328156601,12.997677959,0.103486239,-5.481465335,12.594446948,0.007964454,-4.796039442,11.383542443,-0.035920059,-5.412849167,6.880581445
0.333333333,-0.146587015,-0.000551398,0.388921528,0.999785820,-0.004997712,-0.019368475,0.005310294,-0.927164296,-0.092264198,0.190588765,0.232438370,-0.158991597,-0.038871568,0.001769292,-0.228320644,-0.207409271,-0.015801901,1.003009315,-1.349549053,0.001980688,1.030479522,-1.336590866,0.013600850,-0.008414052,-0.606984616,0.019574356,-8.790036306,14.256258510,0.087411684,-7.052234053,15.245156461,-0.043951177,-5.628285912,12.841191781,-0.025201266,-5.361700913,6.942125164
0.350000000,-0.162241381,-0.002129494,0.391261844,0.999756446,-0.003087969,-0.021317748,0.004802802,-0.950259860,-0.096887249,0.087380749,0.230636334,-0.300323178,-0.070153370,0.002461077,-0.358548338,-0.000000000,-0.014597247,0.873794488,-1.077288645,0.000866412,0.931153894,-1.115128360,0.013288269,-0.097446032,-0.490947208,0.043478667,-4.347808989,6.222278138,0.056710416,-8.142783739,16.720727302,-0.080591560,-5.897211713,12.788486342,-0.012610707,-3.058060588,3.172497040
0.366666667,-0.178225684,-0.003773635,0.391738607,0.999696284,-0.001202103,-0.024275934,0.004071154,-0.966756690,-0.100189429,-0.033037595,0.229002115,-0.401423906,-0.091994840,0.003218581,-0.373247610,-0.000000000,-0.013911554,0.731583190,-0.792191476,-0.000705697,0.833905798,-0.910307988,0.013180493,-0.110349405,-0.501234715,0.033700148,3.733567851,-8.136191083,0.032863730,-8.044654765,15.617066487,-0.097006375,-4.945636448,9.967041210,-0.000515475,2.693685422,-6.263582221
0.383333333,-0.194429944,-0.005461804,0.390064978,0.999605165,0.000664990,-0.027908053,0.003195689,-0.976654789,-0.102170736,-0.170666268,0.227651429,-0.462259838,-0.104540783,0.003584415,-0.234096077,-0.271206369,-0.013501789,0.605639329,-0.556719762,-0.002367133,0.766299346,-0.782893653,0.013271086,-0.007656517,-0.699733282,0.012709902,11.462972305,-21.602033129,0.028984846,-4.641202105,7.558359067,-0.088643393,-2.056916020,2.840843402,0.012822744,7.631489237,-13.772704456
0.400000000,-0.210744184,-0.007171988,0.385954119,0.999486030,0.002519869,-0.031878587,0.002254284,-0.979954155,-0.102831172,-0.325505270,0.226825372,-0.482799221,-0.107923822,0.003642244,0.008851467,-0.720067771,-0.012945392,0.576876454,-0.540246174,-0.003660477,0.765341931,-0.815613208,0.013607918,0.144033570,-0.960324864,-0.004260469,13.419895723,-23.784323713,0.045187759,0.442624651,-3.858436524,-0.061803116,1.112402258,-4.858089925,0.029514334,9.702709477,-15.830108832
0.416666667,-0.227096208,-0.008874637,0.379346645,0.999346430,0.004352679,-0.035861556,0.001309888,-0.983456079,-0.100814591,-0.456612705,0.220268418,-0.466600397,-0.107020328,0.003442400,0.213233781,-1.064017160,-0.011995530,0.620393484,-0.685334313,-0.004427237,0.803379421,-0.944829984,0.014254898,0.315767132,-1.227403576,-0.016338356,11.967118093,-19.159750510,0.066825427,2.391352724,-8.372631500,-0.035746155,2.144543595,-7.603050713,0.049341333,10.540256001,-15.443757743
0.433333333,-0.243564963,-0.010510068,0.371092992,0.999198205,0.006081031,-0.039570573,0.000372613,-0.993961851,-0.094764847,-0.523046675,0.201683740,-0.417191045,-0.106884434,0.003097632,0.407755403,-1.358726121,-0.010717878,0.656588211,-0.819333891,-0.004852016,0.836826717,-1.069048232,0.015252629,0.495375437,-1.475116788,-0.024247214,11.435895456,-16.251976058,0.088526721,1.822741364,-7.549573819,-0.014616512,1.693139442,-7.073169315,0.067198994,10.804127598,-13.821308452
