time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,-0.125266170,-0.151346496,0.175095152,-0.125430061,-0.139096394,0.131281717,-0.137758315,-0.218761974,0.301535615,-0.138042094,-0.213422971,0.272868658
0.016666667,-0.000078798,0.000120600,0.300554357,0.999999493,0.000896390,0.000451694,-0.000081842,-0.009412405,0.014451623,0.064429011,0.194931032,0.099310171,-0.018339163,-0.002921213,0.769380903,-1.576227457,-0.001257057,0.769585072,-1.576957681,-0.003129416,0.803596332,-1.574120116,-0.001467258,0.803685315,-1.574597899,-0.211549198,-0.276793107,0.332441200,-0.212002971,-0.262755800,0.271425913,-0.232754841,-0.389836979,0.543547429,-0.233416292,-0.387704840,0.508253155
0.033333333,-0.000312303,0.000481040,0.302077840,0.999994589,0.002912166,0.001503509,-0.000284064,-0.018564891,0.028780733,0.116295142,0.268650640,0.144041050,-0.028842682,-0.007885084,0.762676908,-1.568064336,-0.006233322,0.763144818,-1.570098179,-0.008591938,0.794247799,-1.561027462,-0.006947099,0.794318870,-1.562203938,-0.325466553,-0.489150988,0.621332683,-0.326574623,-0.487060866,0.565808521,-0.358398053,-0.660790769,0.939080576,-0.359815441,-0.677853874,0.923808305
0.050000000,-0.000696183,0.001079277,0.304361068,0.999983521,0.005037092,0.002700902,-0.000539255,-0.027457460,0.042987331,0.155598393,0.221107019,0.134315778,-0.030809587,-0.013770098,0.753075870,-1.555516368,-0.012142878,0.753349710,-1.558097397,-0.015076017,0.781569973,-1.542817430,-0.013461106,0.781090186,-1.543804289,-0.321971689,-0.624552301,0.859224116,-0.323500107,-0.665552659,0.889688275,-0.355554422,-0.788755426,1.156159181,-0.357306661,-0.851172011,1.228931631
0.066666667,-0.001226108,0.001913271,0.307194659,0.999973659,0.006260353,0.003590658,-0.000772713,-0.036090110,0.057071417,0.182338763,0.052212219,0.070334206,-0.023278147,-0.018617473,0.741858498,-1.539423532,-0.017016659,0.740959730,-1.540441903,-0.020443752,0.767955951,-1.522488823,-0.018857321,0.765946470,-1.521239550,-0.200836855,-0.682923733,1.046871730,-0.201802807,-0.799104388,1.246213627,-0.224986487,-0.771552198,1.189787047,-0.225867327,-0.907289137,1.422321254
0.083333333,-0.001897743,0.002980977,0.310369233,0.999977152,0.005570573,0.003720769,-0.000905064,-0.044462841,0.071032990,0.196516254,-0.238089899,-0.047794718,-0.006127131,-0.020464660,0.730311746,-1.520620643,-0.018869638,0.726712897,-1.516556943,-0.022575567,0.755851566,-1.503157862,-0.020990017,0.750847215,-1.496393580,0.038329758,-0.663671552,1.184318402,0.039267637,-0.889993644,1.639959659,0.032171390,-0.605498034,1.032353076,0.033652815,-0.845250120,1.500558069
0.100000000,-0.002706758,0.004280356,0.313675407,0.999994232,0.001956308,0.002638780,-0.000864034,-0.052575654,0.084872051,0.198130864,-0.649759992,-0.220220695,0.018822951,-0.017339815,0.719736113,-1.499946252,-0.015707738,0.711293275,-1.485776581,-0.019371373,0.747772683,-1.488077053,-0.017735561,0.737771466,-1.471220948,0.370988573,-0.578967124,1.280248817,0.374404885,-0.949052967,2.069997743,0.388025928,-0.312729162,0.711695555,0.392365046,-0.684017050,1.479534155
0.116666667,-0.003639773,0.005818070,0.316970841,0.999986450,-0.005167251,0.000057882,-0.000628587,-0.058799955,0.100155419,0.199249797,-1.029392775,-0.386749322,0.038405889,-0.008098374,0.711012842,-1.477945683,-0.006389476,0.695077798,-1.447557018,-0.009641369,0.745427261,-1.479434677,-0.007911182,0.728046646,-1.447075775,0.671271379,-0.493902656,1.379931557,0.676030677,-1.013098744,2.505561104,0.707613819,-0.021982291,0.399517594,0.713284596,-0.523783926,1.458323067
0.133333333,-0.004647217,0.007635599,0.320381353,0.999885576,-0.014680803,-0.003635919,-0.000299284,-0.061507147,0.118449917,0.211940254,-1.223644818,-0.486829747,0.043206782,0.005035898,0.703272691,-1.453948534,0.006826618,0.677523317,-1.402257878,0.004215755,0.747039940,-1.474759800,0.006040592,0.720312001,-1.422610179,0.812619617,-0.475368236,1.530464825,0.817321791,-1.116271914,2.913110892,0.856651921,0.134572645,0.272901143,0.861833618,-0.466267997,1.540751095
0.150000000,-0.005670472,0.009783129,0.324099803,0.999655378,-0.025039008,-0.007885041,0.000016998,-0.060697232,0.139755542,0.236202236,-1.232610136,-0.520028265,0.037416120,0.018988946,0.695167234,-1.426930189,0.020854584,0.657868734,-1.350453322,0.018913695,0.749913016,-1.470337972,0.020816605,0.712504380,-1.395717405,0.769094623,-0.539551683,1.744646792,0.950327203,-0.371107070,1.473554611,0.988345967,0.679006023,-0.709282571,0.814159167,-0.533851208,1.752965623
0.166666667,-0.006650919,0.012310845,0.328319048,0.999324204,-0.034698747,-0.012127137,0.000255622,-0.056370209,0.164072296,0.272035743,-1.056584949,-0.485677995,0.026897940,0.030672385,0.685287635,-1.395793641,0.038504192,0.665153081,-1.353139391,0.037160620,0.769673474,-1.498402553,0.033179231,0.702516961,-1.364177991,0.539961484,-0.690769311,2.027866524,1.203855082,1.742555238,-2.875209330,1.239119677,1.899794065,-3.122906814,0.574405877,-0.730193869,2.103699460
0.183333333,-0.007529939,0.015268934,0.333231947,0.998987533,-0.042121593,-0.015796212,0.000398942,-0.048526079,0.191400178,0.319440774,-0.695972066,-0.383159609,0.017112731,0.036987662,0.672141590,-1.359334638,0.060983087,0.715953908,-1.446293633,0.060217684,0.813239484,-1.574434866,0.039963468,0.688164584,-1.325594090,0.125116459,-0.935146274,2.388570559,1.362804785,3.711621983,-7.073653705,1.379739742,2.859826502,-5.135709108,0.146736576,-1.062115978,2.607541065
0.200000000,-0.008248915,0.018707580,0.339031360,0.998783622,-0.045773972,-0.018324979,0.000463624,-0.037164840,0.221739189,0.378417331,-0.151076814,-0.212180911,0.011042346,0.034842934,0.654116093,-1.316174622,0.083931018,0.788873814,-1.588927848,0.083151945,0.865001024,-1.669592856,0.038070450,0.667113095,-1.277259956,-0.444510314,-1.265380925,2.822487689,1.300755543,4.494131648,-8.982353118,1.246199864,2.971998055,-5.568480567,-0.434988444,-1.521571261,3.264761908
0.216666667,-0.008761966,0.022662501,0.345822357,0.998817882,-0.044612230,-0.019296600,0.000478898,-0.024579323,0.252485169,0.433163644,0.402005488,-0.026915770,0.009311052,0.022170652,0.629962226,-1.265251715,0.104341605,0.865758297,-1.745705403,0.101757679,0.912306086,-1.760050885,0.025463853,0.637445542,-1.216768693,-1.018362599,-1.609385154,3.254525368,1.145248302,4.345813206,-9.009969694,0.951568123,2.488194992,-4.832048920,-1.017082697,-2.022353889,3.983553525
0.233333333,-0.009074162,0.027111545,0.353358859,0.999039083,-0.039543491,-0.018894361,0.000475977,-0.013062355,0.281033960,0.467877946,0.787476896,0.118213595,0.009336550,0.000897514,0.600469921,-1.207690443,0.122105961,0.933734254,-1.889260171,0.114870882,0.947940858,-1.830661154,0.004167694,0.599701299,-1.144474839,-1.447600621,-1.887459086,3.597367552,0.931246015,3.511650221,-7.531533008,0.570014375,1.632802580,-3.296884205,-1.448875419,-2.474526242,4.664201579
0.250000000,-0.009203314,0.032018093,0.361306999,0.999336650,-0.031960558,-0.017451781,0.000465940,-0.002613937,0.307385562,0.482560238,1.005486589,0.223111461,0.009014545,-0.026082702,0.567046923,-1.145339463,0.135383139,0.982813304,-1.996756503,0.120758159,0.966732839,-1.869947025,-0.022831994,0.554961334,-1.061295307,-1.704849341,-2.075670196,3.819810146,0.493601111,2.097586947,-4.702109282,0.047008982,0.474524142,-1.100128531,-1.702842348,-2.864972178,5.296018385
0.266666667,-0.009167230,0.037345524,0.369332911,0.999612304,-0.023257118,-0.015301597,0.000456805,0.006765931,0.331539975,0.477210518,1.055953948,0.288020368,0.009124650,-0.055930797,0.531280914,-1.080363438,0.138559332,1.003653819,-2.045997147,0.116437848,0.963758329,-1.867332105,-0.052593718,0.504202226,-0.967940892,-1.793753112,-2.160531167,3.897564960,-0.225339207,0.125584818,-0.554108443,-0.560710794,-1.025953830,1.817245563,-1.781311662,-3.199851812,5.891612904
0.283333333,-0.008983719,0.043057219,0.377102728,0.999808313,-0.014829575,-0.012774940,0.000471775,0.015077250,0.353497198,0.451828789,0.938690623,0.313282751,0.012226537,-0.085874473,0.495029218,-1.015420631,0.127871832,0.986999465,-2.015226785,0.102067799,0.932534378,-1.809372173,-0.082209050,0.448299607,-0.864908210,-1.718359484,-2.122958478,3.795210297,-0.562345653,-2.051456037,4.127339385,-0.707357067,-2.830948467,5.410385174,-1.686165642,-3.485968265,6.465526833
0.300000000,-0.008670591,0.049116558,0.384282582,0.999915191,-0.008076783,-0.010201169,0.000558187,0.022320020,0.373257233,0.406415048,0.653521019,0.299102176,0.021555803,-0.113209447,0.460515632,-0.953856428,0.119814477,0.935271951,-1.908419167,0.092859279,0.869393380,-1.686985932,-0.108799239,0.388003284,-0.752423331,-1.500824406,-1.944132631,3.470664100,-0.338649542,-3.957756330,8.196825351,-0.347509689,-4.534121332,8.856395665,-1.438718155,-3.737860955,7.039732913
0.316666667,-0.008245793,0.055484384,0.390544245,0.999960596,-0.004080294,-0.007846054,0.000772398,0.028469473,0.390363553,0.341984101,0.315052578,0.268036203,0.035359121,-0.135901953,0.430224797,-0.899731828,0.116583514,0.855074254,-1.741999273,0.090484142,0.781397000,-1.514158984,-0.130166321,0.323704242,-0.630250446,-1.235841522,-1.625871674,2.893984282,-0.111392027,-5.473625588,11.300028709,-0.021248428,-5.829349205,11.475312447,-1.138366134,-3.998905998,7.660905173
0.333333333,-0.007727821,0.062111397,0.395582038,0.999979479,-0.002647537,-0.005725104,0.001120849,0.033500844,0.404359633,0.259550750,0.038024073,0.242475743,0.048923670,-0.154404164,0.406319909,-0.857390286,0.116101409,0.752817765,-1.531751544,0.092150999,0.675081740,-1.304475517,-0.146744777,0.254706418,-0.497059825,-1.017679888,-1.175557101,2.045344898,0.001399482,-6.553481784,13.401793930,0.145734844,-6.715987113,13.252514891,-0.885050477,-4.355761028,8.462348134
0.350000000,-0.007135310,0.068945759,0.399095923,0.999986210,-0.003266652,-0.003792766,0.001588659,0.037414132,0.415245473,0.159114995,-0.177502308,0.222276624,0.061095944,-0.169824616,0.391039560,-0.831553665,0.116630163,0.636624861,-1.295272809,0.095341971,0.557530763,-1.072408488,-0.159668004,0.178512208,-0.348172175,-0.659061423,0.076859939,-0.422970145,0.017804894,-7.014021356,14.215562006,0.176255738,-7.045273090,13.903541519,-0.522609856,-2.051854302,3.927255592
0.366666667,-0.006486894,0.075935633,0.400785858,0.999980954,-0.005425264,-0.002004257,0.002154347,0.040209339,0.423021073,0.040676837,-0.331493052,0.207460849,0.070951607,-0.176372878,0.408881907,-0.871489291,0.116694905,0.519017053,-1.057899477,0.098026190,0.440239304,-0.841024133,-0.164165105,0.186311274,-0.366151306,0.002547835,2.396082375,-5.039033394,-0.062041326,-6.380848725,12.835963711,0.084398573,-6.251586625,12.307351993,0.084833954,3.842838116,-7.796631867
0.383333333,-0.005801210,0.083029182,0.400351804,0.999958982,-0.008610665,-0.000314494,0.002791509,0.041886462,0.427686433,-0.095763724,-0.423934973,0.198174362,0.077738197,-0.169739688,0.470908972,-0.999521444,0.114562119,0.423929903,-0.867407352,0.098155256,0.349144542,-0.662163421,-0.156840206,0.306606812,-0.608059904,0.724510490,4.439921071,-9.114522512,-0.268977874,-3.739344340,7.446907430,-0.147008011,-3.125378418,6.050085108,0.729301592,7.832635977,-15.714560543
