time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,0.302197838,0.035058888,-0.044982608,0.301994545,-0.037097376,0.040199537,0.260886176,0.031594923,-0.036627148,0.260693044,-0.067480080,0.098487580
0.016666667,0.000054417,-0.000170117,0.300035698,0.999997832,-0.002062049,0.000109756,-0.000266650,0.006666052,-0.020728467,0.005114285,-0.448262072,0.027957058,-0.059402629,0.004203187,0.772487660,-1.579895420,0.005866686,0.771285055,-1.578475717,0.003514659,0.807768947,-1.579756162,0.005178328,0.806117697,-1.577504250,0.507710888,0.046949409,-0.055628232,0.506596116,-0.062597908,0.061515570,0.436737100,0.032039538,-0.024564513,0.435751674,-0.123237758,0.178496204
0.033333333,0.000226735,-0.000701431,0.300198159,0.999977059,-0.006693745,0.000493223,-0.000912566,0.014148168,-0.043343648,0.015211397,-0.616700912,0.065615641,-0.091102178,0.016090253,0.773468325,-1.580999984,0.017719981,0.769816748,-1.577095191,0.013724460,0.808310349,-1.579964527,0.015358500,0.803134439,-1.573195836,0.773298613,0.035942946,-0.025379683,0.769955509,-0.096248691,0.075919018,0.660479813,-0.013827533,0.072551489,0.657488796,-0.217218383,0.310949882
0.050000000,0.000530556,-0.001625387,0.300570427,0.999930937,-0.011563019,0.001228914,-0.001705332,0.022446346,-0.067845543,0.030291335,-0.505246463,0.112042522,-0.095384926,0.029979807,0.773685758,-1.580741409,0.031531870,0.768076766,-1.575945083,0.025530653,0.807308029,-1.577337779,0.027094621,0.798877084,-1.567139254,0.746840647,-0.044643718,0.107531587,0.742526288,-0.095303606,0.033558665,0.627119603,-0.153471765,0.315870117,0.622912608,-0.276337027,0.388261520
0.066666667,0.000979481,-0.002973430,0.301235552,0.999891440,-0.014338045,0.002385543,-0.002416169,0.031560587,-0.094234153,0.050354100,-0.113894584,0.165733294,-0.073674959,0.040984941,0.771980201,-1.577415598,0.042470857,0.766639961,-1.575976569,0.034628446,0.803194624,-1.569435523,0.036122253,0.793923205,-1.560253786,0.426162352,-0.195128846,0.342675915,0.425963776,-0.060354039,-0.066028863,0.334124200,-0.388207300,0.707450971,0.332621666,-0.301568424,0.410789031
0.083333333,0.001587110,-0.004777007,0.302276580,0.999907404,-0.012688142,0.004023370,-0.002829614,0.041490891,-0.122509477,0.075399691,0.557243425,0.225885803,-0.028956071,0.044185219,0.767181463,-1.569318879,0.045730662,0.766064964,-1.578146046,0.036668126,0.794367786,-1.553756080,0.038182010,0.788824803,-1.553446286,-0.189447132,-0.416949511,0.681765376,-0.179380542,0.006906938,-0.222297813,-0.220566633,-0.721666054,1.254388672,-0.214244151,-0.295421213,0.380378841
0.100000000,0.002367044,-0.007067561,0.303776557,0.999967768,-0.004284148,0.006205845,-0.002756308,0.052237257,-0.152671516,0.105428109,1.507883578,0.293673410,0.033806521,0.034670036,0.758081884,-1.554690085,0.036491506,0.766870192,-1.583386496,0.027276225,0.779139089,-1.527622567,0.028980781,0.784075831,-1.547574491,-1.035373675,-0.704626855,1.124365533,-1.014931035,0.092149746,-0.407679258,-0.981322616,-1.143659119,1.948599680,-0.966192126,-0.269630694,0.317727510
0.116666667,0.003316119,-0.009882340,0.305831217,0.999882987,0.012231161,0.008939250,-0.002121476,0.060781821,-0.185764493,0.142722534,2.388771610,0.344948016,0.084432638,0.009672763,0.743693901,-1.531840028,0.011899628,0.769136623,-1.591735354,0.003957372,0.756245815,-1.488802757,0.005975606,0.779837113,-1.542855369,-1.798609027,-1.018433442,1.646522775,-1.778650016,0.136951255,-0.494520315,-1.668601722,-1.575713011,2.691610381,-1.651770057,-0.264496248,0.309547315
0.133333333,0.004364107,-0.013281795,0.308587026,0.999338525,0.034333778,0.011931329,-0.001160686,0.064106715,-0.222832633,0.189566148,2.851169192,0.352780838,0.102061599,-0.025283598,0.724134103,-1.499805993,-0.022796828,0.771435234,-1.599870506,-0.028343832,0.726615322,-1.437902221,-0.026078220,0.775259290,-1.537256247,-2.173260550,-1.318560914,2.223105957,-2.165586653,0.086092907,-0.358079466,-2.006486548,-1.936697674,3.377270798,-1.995652759,-0.316702304,0.440078025
0.150000000,0.005424012,-0.017332179,0.312203139,0.998176186,0.058527089,0.014794057,-0.000128644,0.062211941,-0.263875936,0.245958951,2.895730935,0.313838784,0.095987618,-0.062769255,0.699741871,-1.457736496,-0.060286594,0.772006386,-1.603671336,-0.062925512,0.691689226,-1.376227064,-0.060546153,0.769280370,-1.528186102,-2.109662533,-1.601298634,2.855323504,-2.481896546,0.365255752,-0.818184811,-2.271542651,-1.199630083,2.023410879,-1.938604296,-0.430507020,0.725602468
0.166666667,0.006408840,-0.022099744,0.316838709,0.996540464,0.081325620,0.017105830,0.000798484,0.055097497,-0.308894402,0.311900942,2.523348335,0.223120831,0.075411678,-0.095605682,0.670757482,-1.404628543,-0.105526713,0.783610426,-1.627143333,-0.104061920,0.686627652,-1.370455192,-0.090698364,0.760909056,-1.513069498,-1.622731167,-1.874417947,3.556636065,-3.000582903,1.224120518,-2.328792916,-2.699216862,1.266203623,-2.575922853,-1.475153192,-0.601679926,1.166579352
0.183333333,0.007231597,-0.027650743,0.322652888,0.994888799,0.099272109,0.018412870,0.001513842,0.042763385,-0.357888031,0.387392122,1.734741499,0.076167063,0.045962908,-0.116860294,0.637261273,-1.339181960,-0.160306024,0.812810403,-1.681297767,-0.152899408,0.733896013,-1.462091159,-0.109717926,0.749224372,-1.489300123,-0.724632637,-2.150549440,4.352495465,-3.225352454,1.931662417,-3.446997872,-2.894604038,3.793671134,-7.155002983,-0.602292359,-0.828057623,1.769873398
