time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,-0.051827757,-0.034929966,0.056076250,-0.051873341,-0.015022340,0.040680581,-0.035012333,-0.042533328,0.069052960,-0.035056743,-0.012010613,0.033335752
0.016666667,-0.000000424,0.000003508,0.300125447,0.999999931,0.000356219,0.000009489,0.000108700,-0.000053773,0.000370308,0.017209392,0.078441873,0.001356801,0.049415610,-0.001697240,0.771321179,-1.578211105,-0.000031112,0.771652973,-1.578467700,-0.001416983,0.806533476,-1.577994827,0.000249165,0.807042188,-1.578590114,-0.119223948,-0.094288973,0.120899421,-0.119285285,-0.032315232,0.134668681,-0.025640874,-0.125859560,0.178566899,-0.025635875,-0.006467143,0.079012909
0.033333333,-0.000001888,0.000010654,0.300645503,0.999998557,0.001189849,0.000008300,0.001212414,-0.000124733,0.000436418,0.047353016,0.114587209,-0.002612577,0.238802384,-0.004807575,0.768760379,-1.575115729,-0.003142732,0.770826171,-1.574656754,-0.001688140,0.803047046,-1.573193480,-0.000021085,0.807026793,-1.576511946,-0.277224014,-0.249454703,0.264982574,-0.276367092,-0.070966399,0.403817904,0.058572006,-0.354233826,0.459535826,0.059882814,0.029616586,0.190038039
0.050000000,-0.000004677,0.000016366,0.301775738,0.999987666,0.002148605,-0.000044575,0.004477665,-0.000212879,0.000198331,0.090430873,0.108524408,-0.011719149,0.568172339,-0.010938040,0.763006022,-1.569378353,-0.009243348,0.769287426,-1.565007103,0.000535418,0.794725682,-1.562676966,0.002245258,0.808029407,-1.572255513,-0.481565251,-0.476779286,0.442186326,-0.474289593,-0.119962979,0.839592342,0.270122276,-0.708180939,0.868491110,0.278846922,0.110979741,0.344467685
0.066666667,-0.000009079,0.000015575,0.303731723,0.999934546,0.002881523,-0.000188235,0.011070933,-0.000318212,-0.000343954,0.146442962,0.060552434,-0.026726492,1.037513383,-0.020859750,0.752867736,-1.560376185,-0.018952386,0.766827405,-1.546670342,0.007315936,0.779441015,-1.544243776,0.009273812,0.810726118,-1.565029690,-0.732359648,-0.773909179,0.665700660,-0.701592508,-0.186416030,1.455845345,0.598055430,-1.194802295,1.418399652,0.631658994,0.222526923,0.555269693
0.083333333,-0.000015380,0.000003211,0.306729027,0.999749756,0.003041129,-0.000470077,0.022157539,-0.000440731,-0.001190436,0.215389284,-0.028626066,-0.050318034,1.646750036,-0.035350028,0.737209049,-1.547188331,-0.032629765,0.763073558,-1.516478925,0.020470599,0.754898939,-1.515396978,0.023300558,0.815446971,-1.553746523,-1.029987288,-1.136316295,0.960154121,-0.937402827,-0.284551252,2.280058795,1.022770610,-1.828105270,2.134222660,1.118837415,0.335182512,0.847268267
0.100000000,-0.000023866,-0.000025797,0.310983222,0.999240096,0.002287196,-0.000964034,0.038898192,-0.000580436,-0.002341116,0.297269838,-0.157537992,-0.088022561,2.395704167,-0.055192660,0.714990526,-1.528371047,-0.050199146,0.757342363,-1.470668382,0.041408290,0.718504172,-1.473103021,0.046568392,0.821898868,-1.536787414,-1.357921611,-1.543528328,1.364395355,-1.139062043,-0.442511557,3.324409535,1.484848970,-2.601724412,3.033103200,1.705388377,0.384861516,1.259811723
0.116666667,-0.000035319,-0.000074638,0.316652685,0.998086205,0.000438589,-0.001754098,0.061811477,-0.000826603,-0.003457865,0.381789777,-0.271815090,-0.130074470,3.057337384,-0.080614082,0.685758105,-1.501708486,-0.070598500,0.748323173,-1.405665274,0.069965564,0.668174791,-1.414293538,0.080146837,0.828275689,-1.511752799,-1.631150663,-1.924618752,1.912148174,-1.226100657,-0.704830890,4.465127290,1.811427991,-3.390748781,4.036422956,2.213941178,0.244898671,1.826146655
0.133333333,-0.000052507,-0.000138992,0.323667018,0.996036018,-0.002095738,-0.002790509,0.088882350,-0.001268507,-0.004202552,0.458654253,-0.320378129,-0.156249120,3.404986422,-0.109564349,0.650836568,-1.464632775,-0.091069168,0.733848000,-1.321830806,0.101789223,0.605479213,-1.338555589,0.120366432,0.830062157,-1.475915859,-1.758259067,-2.222515625,2.597022725,-1.159153785,-1.102794465,5.548821799,1.867294702,-4.049193602,5.037959585,2.459797455,-0.157507568,2.538843239
0.150000000,-0.000078690,-0.000212656,0.331898630,0.993057574,-0.004778478,-0.003932471,0.117466408,-0.001906148,-0.004575178,0.527863267,-0.307555398,-0.156106713,3.439040513,-0.139222718,0.611674251,-1.415141062,-0.109236960,0.711563358,-1.220704547,0.132208721,0.533201671,-1.246361552,0.162140086,0.823025436,-1.427124691,-1.714806706,-2.450103487,3.375555118,-0.885824045,-0.762940197,4.709117737,1.579549935,-3.570341702,4.152373533,2.398250184,-0.770488539,3.354195121
