time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,-0.015451245,-0.004217433,-0.065678679,-0.015356963,0.031203550,0.022064440,0.091491049,-0.032482396,-0.007947484,0.091570422,0.067105243,-0.049348505
0.016666667,0.000000052,-0.000000959,0.299936268,0.999999711,-0.000315608,-0.000023144,0.000690814,-0.000010957,-0.000083958,-0.005360869,-0.070439263,-0.004805378,0.151656854,-0.001090964,0.771833054,-1.580240354,0.000577494,0.772423404,-1.578777969,0.000691407,0.806700991,-1.579278168,0.002359617,0.808360785,-1.579968185,-0.023609111,-0.017609764,-0.088727531,-0.023177053,0.040366661,0.058435764,0.153866253,-0.065891736,0.008658060,0.154187405,0.098529660,-0.058424637
0.033333333,-0.000000937,-0.000001763,0.299897535,0.999996782,-0.001085547,-0.000067721,0.002291977,-0.000124886,0.000018474,0.002999859,-0.109046021,-0.005151548,0.218483959,-0.001620414,0.771316353,-1.582103294,0.000060875,0.773248900,-1.577197851,0.004295431,0.805045973,-1.578857108,0.005973024,0.810526687,-1.581093198,-0.028748885,-0.058036160,-0.071046518,-0.027478502,0.025527917,0.152532110,0.234868343,-0.133804293,0.078504896,0.235753722,0.107881018,-0.016289559
0.050000000,-0.000004683,0.000000693,0.300112495,0.999989514,-0.002044658,-0.000095595,0.004096643,-0.000341786,0.000307296,0.025082182,-0.115865466,-0.000780076,0.200494103,-0.002049261,0.769898516,-1.582608572,-0.000338456,0.773274335,-1.573693565,0.008520352,0.802240848,-1.576661338,0.010218075,0.811956819,-1.580511170,-0.011051612,-0.125679827,0.073864276,-0.009288462,-0.055822072,0.289107257,0.228443746,-0.203326656,0.221293541,0.229557660,0.010483549,0.146203551
0.066666667,-0.000012902,0.000009516,0.300809839,0.999981141,-0.002928122,-0.000064984,0.005398147,-0.000661658,0.000782508,0.060886101,-0.090944291,0.008773347,0.097699527,-0.001988801,0.767127025,-1.579641151,-0.000248740,0.771388165,-1.567560942,0.011910223,0.798268418,-1.571480656,0.013624946,0.810876138,-1.576219746,0.030014555,-0.220951673,0.345993972,0.030749589,-0.204017535,0.468274589,0.135063826,-0.274065685,0.437169525,0.135247971,-0.193253658,0.429310461
0.083333333,-0.000027311,0.000027812,0.302218263,0.999978903,-0.003471135,0.000069541,0.005489946,-0.001084501,0.001444109,0.110411616,-0.034259990,0.023729892,-0.089913345,-0.001048775,0.762533460,-1.571075439,0.000686531,0.766473750,-1.558084412,0.013022479,0.793105325,-1.562089020,0.014726340,0.805515031,-1.566200821,0.093344568,-0.345867691,0.747611261,0.091485845,-0.419265497,0.692116416,-0.044016311,-0.348335284,0.728990889,-0.045781376,-0.503569340,0.835644650
0.100000000,-0.000049624,0.000058688,0.304566458,0.999987413,-0.003407971,0.000353315,0.003665284,-0.001610315,0.002292101,0.173658728,0.054354471,0.043618475,-0.362409178,0.001122684,0.755598102,-1.554720776,0.002800788,0.757412648,-1.544490395,0.010443013,0.786657242,-1.547180960,0.012098900,0.794090494,-1.548364924,0.173243536,-0.503002978,1.272664042,0.169816348,-0.694875463,0.965897272,-0.293682509,-0.434204727,1.097915397,-0.296185528,-0.909797869,1.360097581
0.116666667,-0.000080978,0.000104127,0.308043694,0.999996215,-0.002563311,0.000805282,-0.000592670,-0.002134468,0.003124270,0.243531176,0.141867788,0.060310151,-0.651227326,0.004726009,0.745766694,-1.528653304,0.006347075,0.743311235,-1.525887837,0.003233062,0.778631835,-1.525491840,0.004853490,0.775188435,-1.520864235,0.255525825,-0.688937542,1.868817975,0.256380009,-0.997595239,1.296662362,-0.546845604,-0.546890837,1.522972330,-0.545000209,-1.352955037,1.953417548
0.133333333,-0.000120183,0.000161619,0.312681547,0.999973667,-0.001130846,0.001358239,-0.007038588,-0.002552325,0.003738404,0.312932703,0.194958559,0.066526791,-0.887692307,0.009640212,0.732633518,-1.492426844,0.011346788,0.724159473,-1.501268316,-0.007785174,0.768427548,-1.496415216,-0.006067774,0.748991992,-1.483251006,0.327947958,-0.900379557,2.484749403,0.342068767,-1.295397994,1.691840621,-0.737283405,-0.699504640,1.982321112,-0.723494570,-1.775107969,2.567268643
0.150000000,-0.000165465,0.000227529,0.318472168,0.999881895,0.000602011,0.001925694,-0.015235635,-0.002863889,0.004134503,0.381863308,0.213314081,0.063108577,-1.071693788,0.015657608,0.715754042,-1.445828324,0.017749368,0.700131302,-1.469493149,-0.021343051,0.755315013,-1.459414470,-0.019262996,0.716018169,-1.435288614,0.388532831,-1.141962680,3.119856819,0.309348001,-0.382507387,0.706671683,-0.731014088,-0.616987127,0.983437143,-0.818656268,-2.169392311,3.201864138
0.166666667,-0.000215055,0.000298225,0.325407708,0.999688084,0.002344999,0.002429061,-0.024745421,-0.003069157,0.004312566,0.450322992,0.196466928,0.051762521,-1.203085922,0.022591306,0.694568095,-1.388431616,0.021658388,0.711409227,-1.477712594,-0.032152311,0.747861310,-1.463633978,-0.033356316,0.676678915,-1.376522201,0.439724555,-1.421498849,3.789116407,0.050758510,2.492380243,-2.435708873,-0.419316952,-0.245797551,-2.285956225,-0.833233441,-2.543489069,3.872605519
0.183333333,-0.000267180,0.000370070,0.333480318,0.999371649,0.003804173,0.002802838,-0.035128051,-0.003168131,0.004272594,0.518311754,0.143919354,0.034766887,-1.281736659,0.030315093,0.668370747,-1.319524444,0.019441318,0.783210643,-1.550683445,-0.035320283,0.747121762,-1.535613011,-0.047037444,0.631235201,-1.306201763,0.486025957,-1.749507027,4.513983656,-0.327163420,5.452538895,-5.157505460,0.082170559,-0.331546965,-5.180953514,-0.771993350,-2.909011462,4.601750064
0.200000000,-0.000320069,0.000439433,0.342682150,0.998928602,0.004681877,0.002997279,-0.045942835,-0.003160810,0.004014587,0.585829595,0.055246058,0.014667802,-1.307577054,0.038792172,0.636251194,-1.237965494,0.010752941,0.893160524,-1.649629442,-0.029413292,0.736809745,-1.636332428,-0.059089428,0.579711867,-1.223130532,0.535656076,-2.127131458,5.309634792,-0.725376634,7.093958849,-5.688846579,0.661641440,-1.296150178,-5.861455240,-0.653699045,-3.282988529,5.405575740
0.216666667,-0.000372293,0.000503547,0.352901075,0.998359012,0.004764301,0.002991095,-0.056988053,-0.003108905,0.003694845,0.634106068,-0.038575951,-0.002837861,-1.366750786,0.048170295,0.597466365,-1.142536618,-0.004737903,1.019675938,-1.740311664,-0.013265568,0.703916756,-1.730994852,-0.068827412,0.521802250,-1.126015905,0.604361513,-2.500844653,6.127587274,-1.103316904,7.430973244,-4.519817348,1.230521176,-2.700456995,-4.792877338,-0.545919217,-3.681826533,6.235597402
0.233333333,-0.000423794,0.000563120,0.363607842,0.997602754,0.004184091,0.002820700,-0.069016532,-0.003074127,0.003469670,0.644370728,-0.106216747,-0.014684670,-1.545468140,0.058937555,0.552889706,-1.033712585,-0.026024289,1.140859632,-1.800290020,0.011604081,0.646794511,-1.796095006,-0.077286735,0.456984316,-1.015277286,0.700854534,-2.814537759,6.914365371,-1.358296018,6.409808932,-2.312875638,1.631537998,-3.847878431,-2.625062961,-0.509069401,-4.119809585,7.038933997
0.250000000,-0.000474859,0.000619728,0.374168922,0.996539923,0.003161051,0.002531568,-0.083016745,-0.003056476,0.003339060,0.616623574,-0.147564991,-0.022097961,-1.843772436,0.071532113,0.503648440,-0.912057772,-0.050014437,1.233336236,-1.817407519,0.041119032,0.575654141,-1.818496951,-0.085796392,0.384475263,-0.891384772,0.818891137,-3.070741103,7.690053100,-1.341229445,4.044044567,0.371102079,1.693388060,-4.171516239,0.070185249,-0.547158768,-4.619278964,7.840397355
0.266666667,-0.000525772,0.000674947,0.383950785,0.994986206,0.001914548,0.002165731,-0.099970467,-0.003055953,0.003303017,0.550864606,-0.162601268,-0.026506668,-2.261638297,0.086233927,0.450531669,-0.777377482,-0.070731937,1.275661117,-1.787919951,0.068050349,0.507743970,-1.793755498,-0.095525360,0.303008350,-0.753930707,0.948755595,-3.301910144,8.527321578,-0.992962812,0.639744497,3.362401176,1.347122411,-3.774721519,3.106348632,-0.650348198,-5.227642639,8.726551663
0.283333333,-0.000576819,0.000730354,0.392319899,0.992669372,0.000663098,0.001759619,-0.120846934,-0.003072557,0.003361540,0.447093824,-0.151427883,-0.030064622,-2.798993383,0.103157300,0.393584768,-0.627813719,-0.083113197,1.254661052,-1.705327480,0.086023112,0.449830091,-1.714951996,-0.107474666,0.210220509,-0.600499717,1.079989527,-3.599979360,9.624444684,-0.871227301,-2.835539082,7.306268930,1.171994042,-4.239079031,7.104549394,-0.808024954,-6.078720973,9.950059302
0.300000000,-0.000628286,0.000787524,0.398642735,0.989195907,-0.000375821,0.001337540,-0.146593070,-0.003106287,0.003514629,0.305311228,-0.114419991,-0.036158590,-3.455740118,0.122233577,0.330532357,-0.456562659,-0.099772847,1.181143148,-1.544377654,0.107116817,0.366441336,-1.556937185,-0.122459526,0.100384318,-0.422262064,1.196169892,-4.467337727,11.989437318,-1.141583867,-5.694089735,11.620654018,1.350038028,-5.675001701,11.455872843,-0.997712949,-7.991223295,13.145719467
0.316666667,-0.000680390,0.000847678,0.402390122,0.984067302,-0.001035372,0.000904732,-0.177791042,-0.003145057,0.003698304,0.144301421,-0.069504379,-0.045294019,-4.112408042,0.143029629,0.244673511,-0.228165809,-0.121165993,1.064858061,-1.317972346,0.131024380,0.260663367,-1.333089568,-0.140731764,-0.056153601,-0.162309068,1.265636070,-4.977282637,13.696879775,-1.349283335,-8.086663737,15.243961386,1.443974809,-6.885749233,15.073965299,-1.158190765,-8.103383932,12.667861916
0.333333333,-0.000733082,0.000910615,0.403450324,0.976904166,-0.001345711,0.000458309,-0.213673183,-0.003176778,0.003848583,-0.017150998,-0.034033043,-0.054816885,-4.649615840,0.164421446,0.164622935,-0.000000000,-0.144748958,0.911587690,-1.036245607,0.155249311,0.136916361,-1.054471675,-0.161065884,-0.169728480,-0.000000000,1.267672949,-1.221501914,6.844974265,-1.394056387,-10.254678488,18.541038490,1.386836078,-7.964248203,18.263736397,-1.239134886,-4.545647081,4.869272030
0.350000000,-0.000786243,0.000975779,0.401815963,0.967433721,-0.001384014,-0.000005916,-0.253120681,-0.003201450,0.003965466,-0.179046027,-0.007698104,-0.064026891,-5.067396052,0.185285394,0.203956780,-0.000000000,-0.167634539,0.723035445,-0.699937729,0.177252249,-0.004811573,-0.724298355,-0.182036260,-0.207675170,-0.000000000,0.903212145,2.536464453,0.000000000,-1.255878366,-12.996010580,23.144511436,1.169254567,-9.451808145,22.083648152,-0.931961203,-2.458988866,0.000000000
0.366666667,-0.000839758,0.001042612,0.397479664,0.955495066,-0.001224222,-0.000488931,-0.295004138,-0.003219072,0.004048955,-0.341383667,0.010160161,-0.071674111,-5.365782341,0.194528518,0.249171751,-0.000000000,-0.186611571,0.478387337,-0.264761893,0.194224463,-0.178143910,-0.318350070,-0.192131258,-0.251694776,-0.000000000,-0.052052781,6.527404220,-7.369689949,-0.909073689,-12.283184875,20.998131883,0.767759552,-8.940388512,21.728950655,-0.009703250,0.521710117,-6.591673941
