time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000833444,0.771903345,-1.579145710,0.000833444,0.771903345,-1.579145710,-0.000833444,0.807242365,-1.579145710,0.000833444,0.807242365,-1.579145710,0.033229509,-0.055162565,0.131898240,0.033112725,-0.047546520,0.142496742,0.050713991,-0.108757140,0.232562820,0.050522750,-0.090595673,0.222054995
0.016666667,0.000254113,-0.000068954,0.300458866,0.999999924,-0.000234339,0.000289436,0.000113044,0.030750079,-0.008250095,0.053655018,-0.050827121,0.071313255,0.025394287,-0.000279619,0.770983969,-1.576947406,0.001385322,0.771110903,-1.576770764,0.000011789,0.805429746,-1.575269663,0.001675490,0.805732437,-1.575444793,0.057718775,-0.102132147,0.245703444,0.057501599,-0.085807486,0.257789800,0.087989814,-0.212874339,0.454449414,0.087620254,-0.178143115,0.429835809
0.033333333,0.001033552,-0.000274189,0.301741539,0.999998892,-0.000756955,0.001219345,0.000394515,0.063038975,-0.016353640,0.098856883,-0.069208093,0.153718182,0.040402295,0.001090515,0.768498940,-1.570955595,0.002750164,0.769043095,-1.570552716,0.002099550,0.800146553,-1.563997396,0.003754119,0.801304261,-1.564817849,0.093552718,-0.184544018,0.446836481,0.093166994,-0.149156548,0.448231073,0.142191505,-0.415751448,0.884120466,0.141506650,-0.350313845,0.825898844
0.050000000,0.002363962,-0.000613261,0.303707133,0.999994717,-0.001297555,0.002882252,0.000758114,0.096866688,-0.024310632,0.135605595,-0.055200980,0.247260625,0.044922868,0.002838805,0.764832502,-1.562052856,0.004490889,0.766139018,-1.561829728,0.004751506,0.791571364,-1.545798980,0.006392378,0.794055309,-1.547914832,0.102977979,-0.244635178,0.595650540,0.102512601,-0.186682715,0.558822436,0.155517732,-0.609863247,1.287983929,0.154639869,-0.518311625,1.184986283
0.066666667,0.004270990,-0.001083729,0.306214763,0.999983695,-0.001585843,0.005371148,0.001116353,0.132233218,-0.032121074,0.163901155,-0.008815059,0.352019114,0.038570005,0.004523115,0.760344434,-1.551100577,0.006167250,0.762820338,-1.551925302,0.007283474,0.779817779,-1.521064598,0.008908781,0.784027207,-1.525318307,0.085689050,-0.283546763,0.693229518,0.085293749,-0.198963558,0.590096113,0.127701998,-0.798900999,1.670775232,0.126820871,-0.684906757,1.510613264
0.083333333,0.006780284,-0.001683150,0.309123543,0.999959597,-0.001350885,0.008779472,0.001378325,0.169138566,-0.039784965,0.183743563,0.070002485,0.468048155,0.020612609,0.005695107,0.755380943,-1.538945206,0.007334014,0.759506899,-1.542159858,0.009008240,0.764941331,-1.490106473,0.010619740,0.771225083,-1.497561056,0.041275078,-0.301808886,0.740424565,0.041177392,-0.185815094,0.542144544,0.058622967,-0.986189096,2.037263781,0.057945787,-0.851797673,1.805363718
0.100000000,0.009917491,-0.002409081,0.312292587,0.999911770,-0.000320356,0.013200584,0.001446989,0.207582731,-0.047302304,0.195132818,0.181373944,0.595321476,-0.010085597,0.005898951,0.750284138,-1.526419758,0.007539830,0.756626502,-1.533853817,0.009237573,0.746944809,-1.453155805,0.010840307,0.755633951,-1.465139516,-0.026804594,-0.299591403,0.752860113,-0.026333324,-0.148504564,0.437161296,-0.045201989,-1.166428685,2.390088984,-0.045559058,-1.011791957,2.073022545
0.116666667,0.013718025,-0.003246406,0.315625028,0.999824731,0.001673115,0.018604849,0.001252109,0.249323777,-0.052391956,0.205992514,0.287159590,0.689750177,-0.041395821,0.004801621,0.745394563,-1.513849869,0.006456236,0.754556747,-1.527587815,0.007501507,0.726060375,-1.410436840,0.009101105,0.737498685,-1.428460305,-0.099313958,-0.278333227,0.806058072,-0.098173164,-0.096491212,0.386639713,-0.150860248,-1.300987356,2.722170910,-0.151001075,-1.125881995,2.325063475
0.133333333,0.018256367,-0.004129319,0.319200082,0.999690551,0.004369317,0.024473796,0.000863370,0.296119770,-0.052772784,0.224246245,0.349000112,0.707330853,-0.059247501,0.002588485,0.741006364,-1.499551156,0.004267391,0.753410128,-1.520965827,0.004208898,0.703578563,-1.362416775,0.005806938,0.718104551,-1.387637400,-0.156717923,-0.242629984,0.978228331,-0.155156687,-0.042007813,0.504791163,-0.224904062,-1.351941832,3.025725372,-0.225108775,-1.157197548,2.574461584
0.150000000,0.023616767,-0.004979339,0.323140981,0.999517387,0.007398582,0.030167802,0.000397092,0.347970709,-0.048444789,0.249894011,0.366670975,0.648174846,-0.061783217,-0.000422310,0.737306897,-1.481242258,0.001284347,0.753156487,-1.510761442,0.000004705,0.680995647,-1.309579327,0.001597479,0.698925433,-1.342644919,-0.194673430,-0.200417652,1.292136657,-0.169043603,0.112477838,-0.419443712,-0.232868480,-0.860033895,1.527914574,-0.260121468,-1.102863482,2.828434164
