time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,-0.205855189,-0.099984766,-0.107620328,-0.207667328,-0.041089036,-0.204503772,-0.192027137,-0.239320090,0.171516866,-0.190881907,-0.171900193,0.057496367
0.016666667,-0.000200545,0.000050735,0.299947258,0.999998348,0.001572036,0.000906723,0.000100419,-0.024511505,0.006217603,-0.005041574,0.349216317,0.194850191,0.021464349,0.007386389,0.784874809,-1.574876116,-0.014278431,0.785856405,-1.576490840,0.007616856,0.782552554,-1.570223829,-0.013998674,0.783676219,-1.572124171,-0.353746501,-0.184597646,-0.157316944,-0.357007586,-0.087704483,-0.318210766,-0.331247071,-0.404266251,0.284641918,-0.329775303,-0.293257205,0.095056330
0.033333333,-0.000831919,0.000211568,0.299874862,0.999981514,0.005352374,0.002868096,0.000313858,-0.051699478,0.013211808,-0.002358544,0.530009996,0.253129153,0.027085414,-0.000974241,0.780387967,-1.578326342,-0.022717562,0.783617739,-1.583689469,-0.000224260,0.773065680,-1.563594380,-0.021809819,0.776765982,-1.569913899,-0.562612708,-0.330561914,-0.169774433,-0.568074006,-0.188565673,-0.409955749,-0.530500285,-0.622950812,0.423302796,-0.529493189,-0.460311580,0.140531183
0.050000000,-0.001938730,0.000495443,0.299911555,0.999939225,0.009938020,0.004744990,0.000517691,-0.081563920,0.020982616,0.008049089,0.542564753,0.174616258,0.018936545,-0.011367368,0.773856079,-1.580535264,-0.033214231,0.779570882,-1.590156032,-0.010066486,0.761787527,-1.556113736,-0.031648447,0.768332499,-1.567439798,-0.597723367,-0.429253807,-0.008199391,-0.603098912,-0.302295444,-0.231707624,-0.571681639,-0.620318784,0.386101968,-0.572633315,-0.476375806,0.127018257
0.066666667,-0.003565586,0.000915303,0.300186079,0.999888255,0.013927842,0.005395577,0.000616366,-0.114104829,0.029530028,0.026181325,0.387093595,-0.041016367,-0.000201542,-0.020898354,0.766079507,-1.578599655,-0.042820859,0.773541224,-1.591413057,-0.019280315,0.752388387,-1.550724314,-0.040897596,0.760886788,-1.565679958,-0.459004744,-0.479490126,0.329036317,-0.460083919,-0.424585524,0.215750006,-0.455511595,-0.398656436,0.172044186,-0.458242922,-0.342251482,0.055409241
0.083333333,-0.005757094,0.001484092,0.300827180,0.999866346,0.015921426,0.003676112,0.000533418,-0.149322207,0.038854042,0.052038164,0.063468514,-0.393809681,-0.030677816,-0.026667526,0.757873074,-1.569567386,-0.048550362,0.765418031,-1.582964365,-0.025250206,0.748498979,-1.550378930,-0.046923211,0.756924117,-1.565592824,-0.145622745,-0.481901117,0.847674608,-0.136908540,-0.555167078,0.938962726,-0.182699754,0.040401281,-0.217770319,-0.185610442,-0.059006804,-0.072414305
0.100000000,-0.008557862,0.002214752,0.301963599,0.999893435,0.014514415,-0.001555863,0.000171406,-0.187216052,0.048954660,0.085619606,-0.429113998,-0.883123139,-0.079808090,-0.025752445,0.750016136,-1.550343835,-0.047384477,0.755035655,-1.560114299,-0.025370307,0.753735097,-1.557983325,-0.047084611,0.758919895,-1.568093768,0.314562760,-0.459983718,1.531001050,0.336730021,-0.711499139,1.911432084,0.220074871,0.640201996,-0.728431686,0.218643993,0.328120766,-0.225927380
0.116666667,-0.012027279,0.003104467,0.303723010,0.999901529,0.008788229,-0.010923603,-0.000611537,-0.230446835,0.056994946,0.126732773,-0.913147654,-1.323508225,-0.143639280,-0.016182101,0.742540284,-1.518534018,-0.037326028,0.741701393,-1.519249962,-0.017914377,0.769839045,-1.574659986,-0.039635078,0.767861475,-1.573123736,0.774201470,-0.514351907,2.248711423,0.806688234,-0.947838623,2.926684749,0.621470888,1.117045877,-1.105942572,0.621997438,0.598715427,-0.266381890
0.133333333,-0.016283853,0.004087377,0.306228796,0.999733874,-0.000194843,-0.022993071,-0.001860815,-0.281675023,0.060137970,0.175184786,-1.209155315,-1.530729029,-0.204348356,0.000054271,0.732871073,-1.475386787,-0.020494869,0.723441034,-1.462558141,-0.004654610,0.790969959,-1.594848077,-0.026351363,0.778877076,-1.576973164,1.083537679,-0.740369068,2.865604598,1.118266053,-1.307326131,3.768006334,0.891628723,1.185914897,-1.103644139,0.893795456,0.534748457,-0.057307460
0.150000000,-0.021460876,0.005081859,0.309603274,0.999293079,-0.010862863,-0.035818482,-0.003518152,-0.340900616,0.058383729,0.230975643,-1.315207627,-1.506015428,-0.247955180,0.019935822,0.717861315,-1.423013865,-0.000050493,0.698123856,-1.393649751,0.011806580,0.809369542,-1.611448124,-0.009841896,0.785686424,-1.575033985,1.209728199,-1.151430710,3.356012343,1.199824787,-0.506918462,2.789671267,1.008719401,1.821614594,-1.650464907,1.011103666,0.096047421,0.430294231
0.166666667,-0.027691637,0.006006294,0.313968756,0.998624122,-0.021627729,-0.047466866,-0.005385319,-0.408123614,0.051732224,0.294105347,-1.230051118,-1.251153770,-0.255659059,0.040378544,0.694490049,-1.363519709,0.019499291,0.706543752,-1.369569099,0.028969370,0.851690446,-1.649863574,0.007352093,0.782078656,-1.562630023,1.148774548,-1.739837551,3.717310201,1.015402513,2.312292343,-1.045377712,0.964274154,3.715802479,-3.292794653,0.976920881,-0.714068860,1.207044360
0.183333333,-0.035109427,0.006779060,0.319447557,0.997925790,-0.030892931,-0.056028287,-0.007111647,-0.483344018,0.040183456,0.364573895,-0.953577778,-0.767841284,-0.211159059,0.058228307,0.659866730,-1.299103525,0.033796258,0.775200267,-1.428495674,0.043949052,0.933229624,-1.721207946,0.022722133,0.761884129,-1.534799173,0.896633110,-2.499058154,3.940652872,0.610691057,5.189450687,-5.032236449,0.750364589,5.325206480,-4.394914460,0.790500551,-1.896333692,2.302329056
0.200000000,-0.043847535,0.007318535,0.326161991,0.997499071,-0.037062750,-0.059615706,-0.008241524,-0.566561827,0.023737424,0.442381289,-0.486226234,-0.057055812,-0.107875362,0.070266314,0.611188110,-1.232164613,0.039855659,0.879525442,-1.537310314,0.053981523,1.029197328,-1.796360723,0.033702111,0.718867533,-1.485885721,0.474853210,-3.398272898,4.041837005,0.057234984,6.655031897,-7.018809500,0.405730238,5.491594797,-3.906800303,0.464333337,-3.394750577,3.719308828
0.216666667,-0.053996203,0.007561132,0.334152268,0.997579186,-0.038951960,-0.056987494,-0.008422439,-0.650028337,0.005639885,0.512749022,0.025717754,0.650642630,0.007787356,0.074056747,0.546590967,-1.164375625,0.035704091,0.997034664,-1.662455991,0.057473393,1.116282784,-1.851434623,0.038199911,0.648725776,-1.410822212,0.006643565,-4.302064488,4.165236561,-0.501320253,6.892222129,-7.100126909,0.047533754,4.528385404,-2.376725052,0.086133449,-4.899165553,5.250940286
0.233333333,-0.065473479,0.007515389,0.343130190,0.998060711,-0.037001482,-0.049441157,-0.007828124,-0.725994843,-0.010863403,0.560898589,0.436084671,1.125601532,0.083494169,0.070487766,0.467785961,-1.093323395,0.023144984,1.109266179,-1.773981211,0.055565981,1.180143509,-1.875584891,0.036573226,0.555562015,-1.310854378,-0.382177991,-5.086438017,4.487725493,-0.903437586,5.999402880,-5.642736163,-0.232569704,2.765923010,-0.372940873,-0.249755014,-6.111763867,6.673298746
0.250000000,-0.078154364,0.007207876,0.352725454,0.998705442,-0.032058285,-0.038898513,-0.006827295,-0.794461345,-0.025772440,0.586829988,0.744735999,1.368379016,0.114498278,0.061317481,0.377043033,-1.014784775,0.005589504,1.197014760,-1.850547197,0.049721070,1.208480218,-1.863865985,0.029874744,0.445000314,-1.188378920,-0.664274636,-5.750537378,5.104308870,-1.078954897,3.866852885,-3.126828786,-0.440814740,0.316160548,1.857477351,-0.517982174,-7.010961149,7.973390561
0.266666667,-0.091913857,0.006665164,0.362567756,0.999299069,-0.024968635,-0.027284002,-0.005789798,-0.855427843,-0.039087227,0.590543221,0.951524560,1.378814024,0.105192942,0.048345279,0.276101382,-0.923179766,-0.012820179,1.238161276,-1.878208837,0.040872156,1.190682193,-1.813668979,0.019307154,0.321863310,-1.045074693,-0.837275493,-6.343298456,6.132502741,-1.025282307,0.581503971,0.249825365,-0.601361744,-2.506157079,4.349980067,-0.708884792,-7.648645623,9.204302947
0.283333333,-0.106626959,0.005913825,0.372286793,0.999713273,-0.016576720,-0.016534170,-0.005020401,-0.908894337,-0.050807763,0.572038286,1.056534682,1.156344628,0.065289320,0.033408298,0.165599751,-0.810368017,-0.028586572,1.216398225,-1.842219684,0.029675678,1.124941649,-1.718866650,0.006245251,0.190045460,-0.881568822,-0.899249090,-6.989415518,7.840177928,-0.885075405,-2.418582273,4.618152786,-0.706456057,-4.418748063,7.349525887,-0.812696423,-8.094250916,10.462082088
