time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,-0.084603441,-0.109548542,0.127383756,-0.083312707,-0.126859147,0.112151489,-0.121088931,-0.143200419,0.194696104,-0.118852217,-0.180386281,0.219289224
0.016666667,-0.000117481,0.000197237,0.300411382,0.999999792,0.000521747,0.000291516,-0.000240707,-0.014084081,0.023783229,0.048335429,0.112607889,0.063484164,-0.053902343,0.009407251,0.784715413,-1.570959381,-0.012205854,0.784426903,-1.571213252,0.008799160,0.784154548,-1.569837509,-0.012798179,0.783534784,-1.569427623,-0.149336740,-0.205563841,0.246857297,-0.146764518,-0.244174960,0.238087419,-0.212041538,-0.259874420,0.355535097,-0.207911794,-0.332668759,0.415569785
0.033333333,-0.000469015,0.000796600,0.301576833,0.999997812,0.001666660,0.000949991,-0.000833922,-0.028086291,0.048255006,0.090488151,0.149550335,0.088094526,-0.084579346,0.005839417,0.779689094,-1.564853867,-0.015709459,0.778402057,-1.565146196,0.003749257,0.777878741,-1.561231274,-0.017747702,0.775452263,-1.559230118,-0.248670254,-0.377630738,0.474779859,-0.243493592,-0.464630334,0.511497961,-0.348351558,-0.453814724,0.627358988,-0.340827024,-0.595383165,0.774703719
0.050000000,-0.001053236,0.001809563,0.303393306,0.999993448,0.002803927,0.001652001,-0.001585164,-0.042006628,0.073415332,0.126458164,0.110713264,0.074065467,-0.091741167,0.001118243,0.772127722,-1.555133386,-0.020322307,0.768939225,-1.554163320,-0.002812559,0.769027391,-1.548925542,-0.024159080,0.763688678,-1.543604166,-0.287302113,-0.510052106,0.681815166,-0.279233948,-0.657054000,0.829559539,-0.393513393,-0.568678612,0.799431408,-0.383091048,-0.774624508,1.067674434
0.066666667,-0.001868781,0.003247603,0.305757756,0.999989756,0.003301522,0.002076469,-0.002297169,-0.055845094,0.099264206,0.156245469,-0.004096597,0.021772462,-0.075059478,-0.003737320,0.762687357,-1.542126695,-0.025017258,0.756500257,-1.537494212,-0.009367856,0.758922787,-1.534583560,-0.030517403,0.749631446,-1.523640970,-0.264341857,-0.603204788,0.870428830,-0.252572442,-0.822534349,1.196170271,-0.348135135,-0.603196507,0.870501173,-0.334729437,-0.870641002,1.295079309
0.083333333,-0.002914284,0.005122195,0.308567140,0.999991155,0.002526234,0.001904413,-0.002771677,-0.069601688,0.125801628,0.179850065,-0.195003765,-0.068563395,-0.034656479,-0.007693152,0.752020895,-1.526119092,-0.028741388,0.741521413,-1.514290978,-0.014417063,0.748920841,-1.519908837,-0.035316728,0.734667312,-1.500434856,-0.178826837,-0.657121947,1.043470878,-0.161868343,-0.963432815,1.617103685,-0.213661419,-0.554860727,0.837526246,-0.196731168,-0.883265802,1.456107837
0.100000000,-0.004188382,0.007444815,0.311718410,0.999995692,-0.000155065,0.000816195,-0.002815253,-0.083276410,0.153027598,0.197271953,-0.461917148,-0.197171853,0.028406094,-0.009698214,0.740783292,-1.507344332,-0.030412869,0.724385829,-1.483590756,-0.016489903,0.740427430,-1.506666019,-0.037075109,0.720189253,-1.475104042,-0.043200593,-0.676221888,1.205840411,-0.019044967,-1.086054413,2.090433615,-0.009979201,-0.433179185,0.714591208,0.011158419,-0.824545191,1.560226485
0.116666667,-0.005671262,0.010233338,0.315132803,0.999983258,-0.005117640,-0.001394720,-0.002312833,-0.093548751,0.182093789,0.212881623,-0.712412164,-0.322455987,0.088815962,-0.009133172,0.729480166,-1.485924411,-0.029376221,0.705319600,-1.444609857,-0.014749703,0.734481534,-1.496089130,-0.034944780,0.707182472,-1.448427306,0.075928100,-0.683855815,1.368458615,0.108989124,-1.205698538,2.573828699,0.171560869,-0.299427111,0.588509274,0.197765359,-0.757270039,1.662856925
0.133333333,-0.007269324,0.013531230,0.318828677,0.999920430,-0.011712138,-0.004466184,-0.001418501,-0.097098202,0.214151873,0.231049564,-0.854243504,-0.402319643,0.123163969,-0.007167278,0.717988098,-1.461729045,-0.026779898,0.684195878,-1.397796466,-0.010771207,0.730446526,-1.487049043,-0.030482930,0.694946918,-1.419675478,0.111576938,-0.704757980,1.541085543,0.154632006,-1.336363023,3.021846161,0.241496680,-0.217914954,0.549860124,0.274212993,-0.745882432,1.822723982
0.150000000,-0.008870520,0.017388356,0.322848668,0.999786650,-0.019034161,-0.008014882,-0.000342416,-0.093924764,0.249201850,0.251775775,-0.887616399,-0.436176046,0.133408580,-0.005413941,0.705988233,-1.434554893,-0.024221820,0.660774165,-1.343881652,-0.006699814,0.727217703,-1.477760459,-0.025804347,0.682319724,-1.387669840,0.050450413,-0.746457675,1.726340119,0.424765663,-0.608172615,1.703702707,0.539932522,0.235898827,-0.229711290,0.225513413,-0.806262231,2.056633447
0.166666667,-0.010362800,0.021854580,0.327235415,0.999589025,-0.026182777,-0.011649743,0.000725257,-0.084028436,0.287243719,0.275060257,-0.812999205,-0.422996255,0.122382630,-0.005485597,0.693106176,-1.404184375,-0.012621043,0.663923458,-1.341006375,0.007226543,0.738309820,-1.494706086,-0.022965817,0.668071511,-1.351121029,-0.107516154,-0.812682448,1.925153859,1.149279240,1.505794278,-2.425236545,1.334275955,1.288367778,-2.201835778,0.055338768,-0.943423680,2.372885329
0.183333333,-0.011634118,0.026979768,0.332031556,0.999365998,-0.032262337,-0.014970817,0.001618131,-0.067409218,0.328277482,0.300903011,-0.630952287,-0.361728208,0.092946772,-0.008997813,0.678898818,-1.370383098,0.014087488,0.710967308,-1.424722870,0.037776051,0.770163295,-1.551154985,-0.023959722,0.650872268,-1.308573663,-0.362573655,-0.907988013,2.138906097,1.928148027,3.547814600,-6.479096688,2.160892062,2.168660489,-3.877106509,-0.232433825,-1.165014860,2.784208653
0.200000000,-0.012572425,0.032813784,0.337279728,0.999181046,-0.036382501,-0.017571387,0.002190242,-0.044067110,0.372303137,0.329304035,-0.341912771,-0.251712534,0.047143493,-0.017571386,0.662839909,-1.332887505,0.051650558,0.782183944,-1.556976265,0.079256279,0.810598503,-1.623942970,-0.030713611,0.629237682,-1.258314074,-0.700483217,-1.030435247,2.359005327,2.484975281,4.484095997,-8.377416525,2.647989995,2.376461351,-4.253482798,-0.616566455,-1.469809146,3.292719873
0.216666667,-0.013091651,0.039390626,0.342967406,0.999095245,-0.037910421,-0.019130126,0.002351532,-0.018678168,0.416464482,0.350333876,-0.037880019,-0.124162733,0.001410926,-0.032347253,0.644550977,-1.291749587,0.096919997,0.860437175,-1.703970088,0.126042384,0.849378674,-1.692937745,-0.044511937,0.601878630,-1.198816333,-1.049254573,-1.147014400,2.531641679,2.861005600,4.526137974,-8.476427341,2.811492126,2.082183783,-3.628995092,-1.007448519,-1.806713743,3.833151685
0.233333333,-0.013209637,0.046680820,0.348861410,0.999110550,-0.037229693,-0.019679094,0.002188871,0.004081553,0.457905315,0.354063080,0.189582998,-0.010934298,-0.030009870,-0.052546538,0.624606095,-1.248499449,0.147017411,0.933055210,-1.839523843,0.172972683,0.880004629,-1.744909473,-0.064295228,0.569013890,-1.130542352,-1.338259712,-1.218171699,2.596053487,2.952366321,3.882538033,-7.156841149,2.606671904,1.465495907,-2.353335511,-1.319290555,-2.119021555,4.331542848
0.250000000,-0.012970206,0.054639023,0.354673394,0.999199344,-0.034974831,-0.019342128,0.001820344,0.024212053,0.496625635,0.340491648,0.340769785,0.087585359,-0.048651145,-0.076955910,0.603945253,-1.205214471,0.195332208,0.989855109,-1.942531459,0.212931448,0.898228537,-1.771382262,-0.088488289,0.531244578,-1.054431572,-1.556261611,-1.227657791,2.528112237,2.477819870,2.639212411,-4.631289466,1.920621096,0.626062026,-0.654413041,-1.538900992,-2.394912235,4.774343789
