time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.335857572,-0.002966782,0.357084357,0.339666932,-0.073667126,0.380434215,0.252126266,0.168543027,0.014677426,0.252792117,0.050483219,0.132225692
0.016666667,0.000140654,-0.000326477,0.300556101,0.999997515,-0.001915803,-0.000985719,-0.000572587,0.016655432,-0.038952506,0.065467026,-0.423772292,-0.217691179,-0.129018418,0.016414935,0.786491776,-1.567131038,-0.005156193,0.785313436,-1.566741874,0.015019413,0.789350272,-1.572837820,-0.006604107,0.787382609,-1.570878682,0.585790019,-0.030565681,0.669613392,0.592016505,-0.141420830,0.687127582,0.441170713,0.262540224,0.087027622,0.442300084,0.068728130,0.267386189
0.033333333,0.000547748,-0.001290924,0.302140066,0.999971606,-0.006463032,-0.003312305,-0.002011372,0.031972909,-0.076556284,0.123343710,-0.631517588,-0.321874757,-0.207845600,0.030343643,0.785522366,-1.550761997,0.008916575,0.781827194,-1.550178191,0.025522999,0.795292563,-1.570181523,0.003926027,0.788832160,-1.564169571,0.955551674,-0.124227914,1.230239017,0.964946655,-0.268948513,1.192051915,0.724043827,0.337660003,0.318973878,0.725945715,0.056377277,0.543378639
0.050000000,0.001198984,-0.002870861,0.304625389,0.999904119,-0.011839747,-0.006036601,-0.003890041,0.045952431,-0.112811334,0.173630050,-0.622532790,-0.313887468,-0.233958756,0.048266657,0.782350845,-1.526123071,0.027008695,0.776348486,-1.527006810,0.039154207,0.800605606,-1.562205357,0.017594084,0.789261851,-1.552766061,1.064757526,-0.294802813,1.662474957,1.075755835,-0.379214735,1.477305351,0.814962543,0.183889632,0.727479590,0.818452836,-0.055151255,0.832831318
0.066666667,0.002072063,-0.005043809,0.307885565,0.999817763,-0.016235564,-0.008232513,-0.005750931,0.058593999,-0.147717657,0.216326049,-0.395455775,-0.196485531,-0.203012495,0.065835560,0.775695605,-1.495346165,0.044775103,0.769186703,-1.500934679,0.052688417,0.801422217,-1.545932203,0.031207789,0.786993784,-1.536408527,0.914186784,-0.540400015,1.964565678,0.929001621,-0.468011018,1.532761858,0.710124894,-0.206447669,1.319559385,0.718776314,-0.270320193,1.141023507
0.083333333,0.003144684,-0.007787290,0.311794089,0.999775300,-0.017830742,-0.008994604,-0.007107111,0.069897611,-0.181275252,0.251431704,0.050796971,0.028062083,-0.112884518,0.078739550,0.764337511,-1.460637548,0.057975416,0.760748119,-1.475914748,0.062825037,0.793724017,-1.518220045,0.041553294,0.780251178,-1.514731944,0.507469009,-0.856244405,2.130198910,0.531244053,-0.529801978,1.341970479,0.404517302,-0.843372935,2.110735959,0.424798370,-0.596927497,1.475897789
0.100000000,0.004394550,-0.011078824,0.316224454,0.999834917,-0.014802074,-0.007424597,-0.007477465,0.079863269,-0.213484119,0.278947017,0.716202320,0.359896012,0.032279855,0.082751194,0.747154125,-1.424339535,0.062483238,0.751526637,-1.456202330,0.066172327,0.773309786,-1.475574338,0.045367734,0.767096201,-1.487211934,-0.105088543,-1.224369696,2.170946198,-0.067894515,-0.565784441,0.928306365,-0.071776828,-1.697029627,3.093369753,-0.033001111,-1.026372687,1.840769620
0.116666667,0.005793312,-0.014904041,0.321063466,0.999956047,-0.005986729,-0.002923241,-0.006596751,0.087402311,-0.245803463,0.301268155,1.363878180,0.688298207,0.167768258,0.075236599,0.723525188,-1.388272675,0.055712265,0.741888637,-1.444971202,0.060432476,0.737156363,-1.415107719,0.040453257,0.746038755,-1.453372957,-0.697359474,-1.580728715,2.182909816,-0.647551391,-0.598471582,0.483161131,-0.544764576,-2.569199793,4.116467666,-0.486028536,-1.468510751,2.206118294
0.133333333,0.007288431,-0.019280993,0.326251181,0.999955139,0.007154656,0.003857125,-0.004863528,0.091426076,-0.279692489,0.320791286,1.757160700,0.901304067,0.237197816,0.059505878,0.694463168,-1.351575875,0.040898191,0.731577584,-1.440096959,0.048013508,0.687669793,-1.338358749,0.029166783,0.718145843,-1.413674657,-1.049016266,-1.866239700,2.270608431,-0.991006186,-0.651757283,0.210551860,-0.835943244,-3.258362684,5.015231540,-0.761526376,-1.823488555,2.534447058
0.150000000,0.008821319,-0.024235844,0.331740965,0.999671542,0.022504748,0.011937818,-0.002798849,0.091934565,-0.315151195,0.337516410,1.896488563,0.997042072,0.249368701,0.040269390,0.661317198,-1.312585727,0.022678726,0.720163395,-1.437952807,0.032567701,0.628544273,-1.247933335,0.015069045,0.685255804,-1.368891388,-1.121701270,-2.073141366,2.462940294,-1.430943586,-0.299359997,-0.759646872,-1.214189675,-2.620988670,3.493351876,-0.820207274,-2.062302847,2.812006932
