time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,1.224153263,0.277125458,-0.389644492,1.219506861,-0.059019103,0.242000936,1.196182084,0.366685604,-0.568618361,1.189901288,0.015055922,0.093902653
0.016666667,0.000032594,-0.000283026,0.299603657,0.999953990,-0.009574931,-0.000546499,-0.000197425,0.003615111,-0.033983810,-0.044469929,-2.140257070,-0.121085322,-0.033569365,0.031219863,0.791159980,-1.579576519,0.009507806,0.785557570,-1.569049095,0.030753677,0.792652649,-1.582559416,0.009014379,0.786792154,-1.571517400,2.121514149,0.464901588,-0.667578489,2.097205580,-0.094398069,0.418276985,2.102982630,0.608541027,-0.954109264,2.075870377,0.040647445,0.148677498
0.033333333,0.000110630,-0.001133481,0.298620709,0.999452411,-0.033034933,-0.001860133,-0.000333635,0.005452902,-0.068091406,-0.070392621,-3.333808525,-0.183805250,0.014497724,0.081534447,0.802037941,-1.595335060,0.059089544,0.783394620,-1.559139878,0.080916730,0.806825923,-1.604886086,0.058378370,0.787896137,-1.568126527,3.424521043,0.705458000,-1.056265875,3.341989429,-0.128771627,0.669502613,3.483064564,0.903475149,-1.450557984,3.393496472,0.108119012,0.198110822
0.050000000,0.000204484,-0.002553428,0.297360277,0.998040982,-0.062464624,-0.003505134,0.000287231,0.005513372,-0.102322787,-0.077768076,-3.580277247,-0.194753343,0.149643744,0.145370565,0.814675246,-1.614785381,0.120907453,0.781265183,-1.546732341,0.146855829,0.822768487,-1.630911349,0.122130928,0.790396121,-1.564913705,3.729663663,0.679517001,-1.123834774,3.579282326,-0.085427863,0.708629368,3.983791494,0.823419810,-1.412287535,3.815300448,0.210372101,0.122507386
0.066666667,0.000284535,-0.004544929,0.296131480,0.995930126,-0.089949459,-0.005133759,0.002433777,0.003796522,-0.136677954,-0.066596294,-2.879709846,-0.155072488,0.383381851,0.205856569,0.824688508,-1.632796219,0.178398955,0.780547024,-1.535518899,0.213709780,0.834273250,-1.651962337,0.185555052,0.794908540,-1.564042948,3.002923067,0.398124821,-0.904211548,2.839393618,0.044876501,0.519278831,3.570755970,0.376426849,-0.873993395,3.370896893,0.348086982,-0.082523700
0.083333333,0.000321161,-0.007110047,0.295243440,0.994145651,-0.107632748,-0.006413096,0.006963352,0.000302351,-0.171156907,-0.036877275,-1.233497733,-0.046356547,0.724113190,0.245468000,0.827946074,-1.644925766,0.215553907,0.782761066,-1.529423047,0.265881028,0.835316049,-1.660044462,0.234494158,0.801999020,-1.567664495,1.213825253,-0.125202999,-0.429570217,1.146642525,0.267230175,0.094657618,2.200492114,-0.428451961,0.135443808,2.087150016,0.510601560,-0.406496691
0.100000000,0.000284739,-0.010250847,0.295005278,0.994047689,-0.107722121,-0.006824915,0.014783687,-0.004969141,-0.205759645,0.011388981,1.354021283,0.183385347,1.167945365,0.246317411,0.820515075,-1.647115226,0.216620372,0.789454697,-1.532363645,0.287059517,0.819991518,-1.647447543,0.255126719,0.811928592,-1.577592837,-1.456528124,-0.851583690,0.275175901,-1.333901748,0.555360811,-0.511415746,-0.003083574,-1.537013231,1.562784941,0.106163765,0.654660292,-0.786502479
0.116666667,0.000149126,-0.013978752,0.295685594,0.996015322,-0.085027169,-0.005526106,0.026331005,-0.011392029,-0.242171360,0.070909024,3.926205087,0.521846098,1.546870726,0.196917063,0.799559951,-1.635753236,0.171090516,0.801273093,-1.546470238,0.265778242,0.784082274,-1.607951631,0.238032950,0.823821030,-1.593881245,-4.069212452,-1.612595630,1.104888047,-3.793980346,0.779080291,-1.047711463,-2.271156036,-2.685624242,3.129077284,-1.907130067,0.665919408,-1.017574655
0.133333333,-0.000097914,-0.018342637,0.297390914,0.998184082,-0.044809962,-0.001962762,0.040208870,-0.018340390,-0.282077244,0.134389405,5.531402397,0.872819259,1.703521059,0.110676996,0.766761887,-1.610285625,0.090154361,0.815424040,-1.567287360,0.211354315,0.730470710,-1.543144967,0.191555717,0.834125906,-1.611511992,-5.696277068,-2.235754420,1.934161723,-5.417427421,0.805223800,-1.268228975,-3.817150508,-3.609412997,4.543457854,-3.294760931,0.455963661,-0.922569693
0.150000000,-0.000465140,-0.023400739,0.300187243,0.998493349,0.004955200,0.003937355,0.054506656,-0.025814224,-0.325477298,0.201830124,6.174611489,1.161371301,1.649994171,0.007041160,0.725034803,-1.571281179,-0.009490398,0.828113886,-1.588744537,0.138539892,0.663768508,-1.456503036,0.128207586,0.839019819,-1.624633568,-6.181074296,-2.679467118,2.705483364,-6.392924914,1.308940531,-1.707859491,-4.649152229,-3.509952033,4.006773930,-3.926751524,0.038022629,-0.494464408
0.166666667,-0.000961308,-0.029211293,0.304140587,0.996074047,0.056202521,0.011554641,0.067411130,-0.033813531,-0.372371520,0.273231180,5.869539814,1.290658872,1.410888579,-0.095358814,0.677446317,-1.520102846,-0.122943136,0.859055391,-1.624216010,0.056382574,0.613472309,-1.409585836,0.060664000,0.835393327,-1.627994139,-5.580710719,-2.939994998,3.378205284,-6.937353091,2.771059747,-2.596960496,-4.852501552,-1.866679829,0.252217723,-3.778485642,-0.537084904,0.229026250
0.183333333,-0.001595177,-0.035832535,0.309316951,0.991682829,0.100949960,0.019527300,0.077414186,-0.042338311,-0.422759911,0.348592575,4.635294477,1.171832349,1.014323302,-0.178982530,0.627034970,-1.458674336,-0.240735502,0.920482545,-1.675309887,-0.023210160,0.601545847,-1.448095778,0.002258065,0.821116989,-1.616999360,-3.953459853,-3.024609400,3.937696696,-6.478893633,4.114783924,-2.870720923,-4.193899008,0.108461388,-4.061677776,-2.804643941,-1.209807136,1.213802782
0.200000000,-0.002375504,-0.043322702,0.315782341,0.987464408,0.131467648,0.025969360,0.083401991,-0.051388564,-0.476642471,0.427914307,2.487789289,0.752956290,0.482957606,-0.227140809,0.576626003,-1.388846290,-0.338906257,0.996214855,-1.719906707,-0.083414059,0.617087688,-1.544975096,-0.032824132,0.795066422,-1.587534047,-1.476348224,-2.964112238,4.417061452,-4.713295382,4.484151513,-2.027916020,-2.701395185,1.369653007,-6.672631590,-1.082868609,-1.907598382,2.399052818
0.216666667,-0.003307120,-0.051717036,0.323528293,0.985740332,0.142397244,0.029209381,0.084769308,-0.060257216,-0.529880465,0.497791738,0.206409033,0.215866385,-0.079123286,-0.228194138,0.528231229,-1.311438954,-0.397845348,1.069954262,-1.742907088,-0.113256666,0.647200947,-1.670516831,-0.033837556,0.757530376,-1.537030932,1.136744965,-2.861722965,4.928896522,-2.374307071,3.988904120,-0.605289164,-1.043306952,1.828608207,-7.485928103,0.797592969,-2.499010864,3.560585825
0.233333333,-0.004379141,-0.060958810,0.332248460,0.986758580,0.136958824,0.029219961,0.081828967,-0.068237195,-0.578335156,0.544820229,-1.445227054,-0.206711054,-0.591151018,-0.189249310,0.481235238,-1.224549739,-0.418049826,1.129178326,-1.740083013,-0.118190957,0.678041295,-1.794506032,-0.006237699,0.711766060,-1.468847853,3.190730424,-2.825230347,5.602822734,-0.211962394,2.822464810,0.924710653,0.213679648,1.586449884,-6.617265883,2.223796447,-2.887750799,4.481892130
