time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.033013916,-0.031563749,0.109486995,0.034027781,-0.059378212,0.072442575,-0.034027781,-0.013064363,0.072442575,-0.033013916,-0.077923247,0.109486995
0.016666667,-0.000000000,-0.000000000,0.300229134,0.999999900,0.000000000,-0.000000000,-0.000447196,-0.000000000,-0.000000000,0.028092057,0.000000000,-0.000000000,-0.101170924,0.011367541,0.786015159,-1.571257660,-0.010250179,0.785551585,-1.571875068,0.010250179,0.786323482,-1.571875068,-0.011367541,0.785242501,-1.571257660,0.058098635,-0.070472913,0.222933649,0.060317941,-0.119522704,0.157343542,-0.060317941,-0.037820838,0.157343542,-0.058098635,-0.152460736,0.222933649
0.033333333,-0.000000000,-0.000000000,0.300956269,0.999998746,0.000000000,-0.000000000,-0.001583581,-0.000000000,-0.000000000,0.059760210,0.000000000,-0.000000000,-0.165405533,0.012753930,0.784192125,-1.565651322,-0.008806711,0.782557132,-1.567837659,0.008806711,0.785280527,-1.567837659,-0.012753930,0.781459197,-1.565651322,0.096248336,-0.159633082,0.456243007,0.101161539,-0.241103373,0.346302106,-0.101161539,-0.105198733,0.346302106,-0.096248336,-0.296609925,0.456243007
0.050000000,-0.000000000,-0.000000000,0.302241008,0.999995191,0.000000000,-0.000000000,-0.003101349,-0.000000000,-0.000000000,0.095004459,0.000000000,-0.000000000,-0.192703827,0.014575819,0.780694057,-1.556049560,-0.006878128,0.777514806,-1.560331664,0.006878128,0.782816858,-1.560331664,-0.014575819,0.775355504,-1.556049560,0.110412585,-0.271917350,0.703097774,0.118419900,-0.365655309,0.574262611,-0.118419900,-0.208607302,0.574262611,-0.110412585,-0.431180423,0.703097774
0.066666667,-0.000000000,-0.000000000,0.304142952,0.999988989,0.000000000,-0.000000000,-0.004692694,-0.000000000,-0.000000000,0.133824803,0.000000000,-0.000000000,-0.183065805,0.016434349,0.775128213,-1.542214730,-0.004859381,0.770368621,-1.548695572,0.004859381,0.778326951,-1.548695572,-0.016434349,0.767086517,-1.542214730,0.100957427,-0.408218370,0.965166063,0.112038057,-0.494255458,0.842829429,-0.112038057,-0.348573972,0.842829429,-0.100957427,-0.556947694,0.965166063
0.083333333,-0.000000000,-0.000000000,0.306721702,0.999981700,0.000000000,-0.000000000,-0.006049813,-0.000000000,-0.000000000,0.176221243,0.000000000,-0.000000000,-0.136491468,0.017941066,0.767086778,-1.523877358,-0.003143526,0.761039624,-1.532237350,0.003143526,0.771197726,-1.532237350,-0.017941066,0.756790580,-1.523877358,0.068731145,-0.569469781,1.244788618,0.082397241,-0.628658056,1.154276864,-0.082397241,-0.525618808,1.154276864,-0.068731145,-0.675318837,1.244788618
0.100000000,-0.000000000,-0.000000000,0.310036860,0.999976436,0.000000000,-0.000000000,-0.006864914,-0.000000000,-0.000000000,0.222193778,-0.000000000,0.000000000,-0.052980816,0.018725388,0.756145887,-1.500721776,-0.002112806,0.749413353,-1.510219677,0.002112806,0.760806324,-1.510219677,-0.018725388,0.744575889,-1.500721776,0.017090313,-0.753596082,1.542121679,0.032604141,-0.770057010,1.506359089,-0.032604141,-0.736302079,1.506359089,-0.017090313,-0.788525597,1.542121679
0.116666667,-0.000000000,-0.000000000,0.314126349,0.999976273,0.000000000,-0.000000000,-0.006888579,-0.000000000,-0.000000000,0.267840117,-0.000000000,0.000000000,0.046452554,0.018510743,0.741966908,-1.472473302,-0.002056721,0.735371057,-1.482025380,0.002056721,0.746654323,-1.482025380,-0.018510743,0.730506394,-1.472473302,-0.042133689,-0.946164790,1.845111027,-0.025348528,-0.914539086,1.875133714,0.025348528,-0.960594628,1.875133714,0.042133689,-0.898946237,1.845111027
0.133333333,-0.000000000,-0.000000000,0.318941373,0.999981365,0.000000000,-0.000000000,-0.006104862,-0.000000000,-0.000000000,0.309257966,-0.000000000,0.000000000,0.140795046,0.017320931,0.724607061,-1.439218075,-0.002957757,0.718928717,-1.447715219,0.002957757,0.728786503,-1.447715219,-0.017320931,0.714611014,-1.439218075,-0.097669741,-1.132678176,2.141223118,0.037216088,-0.651097759,1.383737449,-0.037216088,-0.732639690,1.383737449,0.097669741,-1.008544942,2.141223118
0.150000000,-0.000000000,-0.000000000,0.324411456,0.999989621,0.000000000,-0.000000000,-0.004556175,-0.000000000,-0.000000000,0.346447327,-0.000000000,0.000000000,0.230046658,0.015255085,0.704210969,-1.401099198,-0.000816185,0.713667798,-1.435900798,0.000816185,0.722233000,-1.435900798,-0.015255085,0.696888229,-1.401099198,-0.147257857,-1.311070761,2.430146255,0.350946423,0.419119344,-0.812030186,-0.350946423,0.392910841,-0.812030186,0.147257857,-1.119075494,2.430146255
0.166666667,-0.000000000,-0.000000000,0.330466125,0.999997390,-0.000000000,-0.000000000,-0.002284928,-0.000000000,-0.000000000,0.379408199,-0.000000000,0.000000000,0.314207391,0.012412336,0.680904702,-1.358213200,0.008740457,0.732899362,-1.474782892,-0.008740457,0.741883531,-1.474782892,-0.012412336,0.677308498,-1.358213200,-0.190980752,-1.482572862,2.714711714,0.740039666,1.548274062,-3.158302505,-0.740039666,1.610028443,-3.158302505,0.190980752,-1.232138852,2.714711714
0.183333333,-0.000000000,-0.000000000,0.337034905,0.999999778,-0.000000000,0.000000000,0.000666458,-0.000000000,-0.000000000,0.408140581,-0.000000000,0.000000000,0.393277244,0.008889060,0.654791874,-1.310608808,0.023851804,0.765276934,-1.541177549,-0.023851804,0.775900615,-1.541177549,-0.008889060,0.655816934,-1.310608808,-0.229065842,-1.648683045,2.997928340,1.010226250,2.008171823,-4.135595102,-1.010226250,2.127423279,-4.135595102,0.229065842,-1.349245295,2.997928340
0.200000000,-0.000000000,-0.000000000,0.344047320,0.999990945,-0.000000000,-0.000000000,0.004255536,-0.000000000,-0.000000000,0.432644475,-0.000000000,-0.000000000,0.467256219,0.004776808,0.625948601,-1.258282255,0.042414665,0.799838422,-1.612636062,-0.042414665,0.812797640,-1.612636062,-0.004776808,0.632333654,-1.258282255,-0.261909295,-1.802011572,3.264575920,1.129164961,1.860410130,-3.858542710,-1.129164961,1.998132580,-3.858542710,0.261909295,-1.462564348,3.264575920
0.216666667,-0.000000000,-0.000000000,0.351358204,0.999964367,-0.000000000,-0.000000000,0.008441800,-0.000000000,-0.000000000,0.439475451,-0.000000000,-0.000000000,0.536857292,0.000158750,0.594724821,-1.201789610,0.061490636,0.827290605,-1.669795639,-0.061490636,0.842505034,-1.669795639,-0.000158750,0.607064789,-1.201789610,-0.290476744,-1.895318222,3.418568135,1.041321223,1.214612080,-2.527539951,-1.041321223,1.312927871,-2.527539951,0.290476744,-1.523249913,3.418568135
0.233333333,-0.000000000,-0.000000000,0.358523627,0.999912974,-0.000000000,-0.000000000,0.013192608,-0.000000000,-0.000000000,0.415189081,-0.000000000,-0.000000000,0.602793442,-0.004905750,0.562771326,-1.144329984,0.077125373,0.840325492,-1.696887394,-0.077125373,0.856561902,-1.696887394,0.004905750,0.581558657,-1.144329984,-0.316485920,-1.871237577,3.342593041,0.706076423,0.140459587,-0.264379104,-0.706076423,0.123919518,-0.264379104,0.316485920,-1.471355464,3.342593041
0.250000000,-0.000000000,-0.000000000,0.365024966,0.999829281,-0.000000000,-0.000000000,0.018477226,-0.000000000,-0.000000000,0.359785366,0.000000000,-0.000000000,0.665064669,-0.010390780,0.532350235,-1.090369842,0.085026517,0.831972591,-1.678608276,-0.085026517,0.846635685,-1.678608276,0.010390780,0.558019607,-1.090369842,-0.342016187,-1.699593134,2.973620022,0.426818035,-1.257284822,2.602057620,-0.426818035,-1.344772798,2.602057620,0.342016187,-1.274026887,2.973620022
0.266666667,-0.000000000,-0.000000000,0.370343599,0.999705565,-0.000000000,-0.000000000,0.024264840,-0.000000000,-0.000000000,0.273264304,0.000000000,-0.000000000,0.723670973,-0.016306290,0.506118222,-1.045209316,0.091352641,0.798415998,-1.610152140,-0.091352641,0.811736142,-1.610152140,0.016306290,0.539091094,-1.045209316,-0.369315237,-1.357965524,2.264043743,0.425428205,-2.561634891,5.150486804,-0.425428205,-2.588851912,5.150486804,0.369315237,-0.906078219,2.264043743
0.283333333,-0.000000000,-0.000000000,0.373960902,0.999534018,-0.000000000,-0.000000000,0.030524538,-0.000000000,-0.000000000,0.155625896,0.000000000,-0.000000000,0.778612354,-0.022701288,0.487084718,-1.014901718,0.099207457,0.746584761,-1.506925382,-0.099207457,0.760340621,-1.506925382,0.022701288,0.527817000,-1.014901718,-0.400896886,-0.832824609,1.183778548,0.459220271,-3.369678343,6.687812825,-0.459220271,-3.318134482,6.687812825,0.400896886,-0.350953939,1.183778548
0.300000000,-0.000000000,-0.000000000,0.375358254,0.999306898,-0.000000000,-0.000000000,0.037225311,-0.000000000,-0.000000000,0.006870142,-0.000000000,-0.000000000,0.829888811,-0.029669519,0.478357402,-1.005750032,0.106659983,0.686093386,-1.387225046,-0.106659983,0.701131660,-1.387225046,0.029669519,0.527392630,-1.005750032,-0.439483771,-0.157451424,-0.201369791,0.394088651,-3.554503833,7.038275256,-0.394088651,-3.483771423,7.038275256,0.439483771,0.358821215,-0.201369791
