time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,-0.034004839,-0.070547623,0.094981153,-0.032747572,-0.042856631,0.131872626,0.032747572,-0.089015995,0.131872626,0.034004839,-0.024433530,0.094981153
0.016666667,-0.000000000,0.000000000,0.300285701,0.999999901,-0.000000000,0.000000000,0.000445349,0.000000000,0.000000000,0.034147013,-0.000000000,0.000000000,0.101314514,0.010250561,0.785365428,-1.571499425,-0.011363102,0.785826945,-1.570884567,0.011363102,0.785057622,-1.570884567,-0.010250561,0.786133996,-1.571499425,-0.060929271,-0.137343460,0.192406477,-0.058327575,-0.087965159,0.258501068,0.058327575,-0.170535909,0.258501068,0.060929271,-0.055063016,0.192406477
0.033333333,0.000000000,0.000000000,0.301133662,0.999998727,-0.000000000,0.000000000,0.001595752,0.000000000,0.000000000,0.067471158,-0.000000000,0.000000000,0.169212878,0.008786333,0.781963107,-1.566668895,-0.012761561,0.783609050,-1.564465741,0.012761561,0.780856692,-1.564465741,-0.008786333,0.784705788,-1.566668895,-0.104039567,-0.265449213,0.391400568,-0.098606001,-0.181878759,0.504378342,0.098606001,-0.322499583,0.504378342,0.104039567,-0.125951355,0.391400568
0.050000000,0.000000000,0.000000000,0.302530168,0.999994967,-0.000000000,0.000000000,0.003172736,0.000000000,0.000000000,0.099972434,-0.000000000,0.000000000,0.203695091,0.006782576,0.776517121,-1.558452739,-0.014649968,0.779764319,-1.554071955,0.014649968,0.774307636,-1.554071955,-0.006782576,0.781935618,-1.558452739,-0.125605470,-0.382881247,0.599174285,-0.117188787,-0.283497036,0.736015321,0.117188787,-0.452518285,0.736015321,0.125605470,-0.216293038,0.599174285
0.066666667,0.000000000,0.000000000,0.304461505,0.999988006,-0.000000000,0.000000000,0.004897829,0.000000000,0.000000000,0.131650842,-0.000000000,0.000000000,0.204761153,0.004599484,0.769200398,-1.546696418,-0.016667854,0.774159149,-1.539931897,0.016667854,0.765772749,-1.539931897,-0.004599484,0.777496020,-1.546696418,-0.125639190,-0.490373147,0.816626041,-0.114454723,-0.393313245,0.954371376,0.114454723,-0.561058131,0.954371376,0.125639190,-0.326252894,0.816626041
0.083333333,0.000000000,0.000000000,0.306913958,0.999978923,-0.000000000,0.000000000,0.006492559,0.000000000,0.000000000,0.162506381,-0.000000000,0.000000000,0.172411063,0.002594603,0.760171349,-1.531231871,-0.018465126,0.766653878,-1.522259576,0.018465126,0.755605698,-1.522259576,-0.002594603,0.771060521,-1.531231871,-0.104480602,-0.588932650,1.044597985,-0.091194988,-0.511576559,1.160342769,0.091194988,-0.648766211,1.160342769,0.104480602,-0.455665336,1.044597985
0.100000000,0.000000000,0.000000000,0.309873813,0.999970520,-0.000000000,0.000000000,0.007678468,0.000000000,0.000000000,0.192539052,0.000000000,0.000000000,0.106644824,0.001116797,0.749569310,-1.511876486,-0.019707687,0.757106597,-1.501253805,0.019707687,0.744147208,-1.501253805,-0.001116797,0.762307176,-1.511876486,-0.064213654,-0.678525443,1.279649837,-0.049816090,-0.635909409,1.352019637,0.049816090,-0.716110227,1.352019637,0.064213654,-0.601124394,1.279649837
0.116666667,0.000000000,0.000000000,0.313309407,0.999966261,-0.000000000,0.000000000,0.008214416,0.000000000,0.000000000,0.218518247,0.000000000,0.000000000,0.020895002,0.000454148,0.737553835,-1.488576876,-0.020125662,0.745456898,-1.477192255,0.020125662,0.731735357,-1.477192255,-0.000454148,0.751023042,-1.488576876,-0.012634651,-0.753807440,1.500438601,0.001878786,-0.753974586,1.515636483,-0.001878786,-0.761661897,1.515636483,0.012634651,-0.746631161,1.500438601
0.133333333,0.000000000,0.000000000,0.317117288,0.999967931,-0.000000000,0.000000000,0.008008510,0.000000000,0.000000000,0.237213360,0.000000000,0.000000000,-0.071405832,0.000695642,0.724442395,-1.461861865,-0.019645061,0.731974111,-1.450732589,0.019645061,0.718758478,-1.450732589,-0.000695642,0.737419470,-1.461861865,0.042554584,-0.808649186,1.684694358,0.056506807,-0.852929479,1.636338231,-0.056506807,-0.783408752,1.636338231,-0.042554584,-0.876045172,1.684694358
0.150000000,0.000000000,0.000000000,0.321176052,0.999975457,0.000000000,0.000000000,0.007006157,0.000000000,0.000000000,0.248624389,0.000000000,0.000000000,-0.170257678,0.001872634,0.710598862,-1.432420398,-0.018242102,0.717025915,-1.422647647,0.018242102,0.705621732,-1.422647647,-0.001872634,0.721821536,-1.432420398,0.099366041,-0.841272675,1.826892584,-0.011696262,-0.271746600,0.744769429,0.011696262,-0.473022829,0.744769429,-0.099366041,-0.985619910,1.826892584
