time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,-0.035399157,0.004368472,-0.057912140,-0.035786313,0.033923295,-0.018620145,0.035786492,-0.015303226,-0.018620119,0.035399336,0.053543536,-0.057912003
0.016666667,0.000000000,0.000000000,0.299903473,0.999999888,-0.000000001,0.000000000,0.000474326,0.000000001,0.000000000,-0.009480397,-0.000000167,0.000000060,0.099007845,0.010227323,0.786614030,-1.574047646,-0.011413747,0.787106610,-1.573392779,0.011413750,0.786286168,-1.573392779,-0.010227320,0.787433614,-1.574047644,-0.052462936,0.002512006,-0.077710574,-0.052865102,0.046256340,-0.019601549,0.052865410,-0.026654917,-0.019601508,0.052463245,0.075198346,-0.077710340
0.033333333,0.000000000,0.000000000,0.299754082,0.999999016,-0.000000003,0.000000001,0.001402959,0.000000002,0.000000001,-0.006343687,-0.000000262,0.000000091,0.109033857,0.009068544,0.786624955,-1.575672796,-0.012579479,0.788083100,-1.573735829,0.012579489,0.785652725,-1.573735827,-0.009068534,0.789047833,-1.575672788,-0.058919802,-0.010463776,-0.060325265,-0.058966434,0.038499637,0.004704834,0.058966927,-0.043204658,0.004704891,0.058920297,0.070788696,-0.060324892
0.050000000,0.000000000,0.000000000,0.299762112,0.999997910,-0.000000005,0.000000002,0.002044383,0.000000004,0.000000002,0.009410131,-0.000000285,0.000000092,0.030078033,0.008263329,0.786265237,-1.576058488,-0.013379295,0.788389931,-1.573235952,0.013379314,0.784846013,-1.573235949,-0.008263310,0.789793237,-1.576058474,-0.009899422,-0.041964202,0.070895386,-0.009020778,-0.034149704,0.081420790,0.009021308,-0.047271255,0.081420833,0.009899954,-0.028931530,0.070895782
0.066666667,0.000000000,0.000000000,0.300137848,0.999998627,-0.000000007,0.000000002,0.001657087,0.000000007,0.000000003,0.037781057,-0.000000234,0.000000064,-0.137859624,0.008738563,0.785226149,-1.573309617,-0.012880171,0.786944776,-1.571021802,0.012880199,0.784077016,-1.571021800,-0.008738535,0.788083449,-1.573309596,0.094141524,-0.092442500,0.316592792,0.096744116,-0.171672826,0.211188970,-0.096743696,-0.039516218,0.211188970,-0.094141101,-0.224150517,0.316593096
0.083333333,0.000000000,0.000000000,0.301091575,0.999999875,-0.000000009,0.000000003,-0.000500447,0.000000010,0.000000005,0.078769089,-0.000000112,0.000000008,-0.394779116,0.011401380,0.783183821,-1.565505395,-0.010154491,0.782667504,-1.566196319,0.010154525,0.783528806,-1.566196317,-0.011401347,0.782321553,-1.565505370,0.250568969,-0.163685525,0.680142019,0.257870784,-0.373701321,0.397358785,-0.257870622,-0.023657367,0.397358713,-0.250568803,-0.516456478,0.680142116
0.100000000,0.000000001,0.000000000,0.302833579,0.999986637,-0.000000009,0.000000002,-0.005169713,0.000000015,0.000000008,0.132374230,0.000000082,-0.000000079,-0.740680442,0.017090862,0.779769965,-1.550638216,-0.004284479,0.774488066,-1.557776510,0.004284512,0.783288437,-1.557776509,-0.017090829,0.770868233,-1.550638192,0.445489090,-0.260733854,1.160355112,0.465439527,-0.633802168,0.647485180,-0.465439747,-0.013682679,0.647485010,-0.445489308,-0.899620902,1.160354902
0.116666667,0.000000001,0.000000000,0.305551802,0.999917100,-0.000000007,0.000000002,-0.012876035,0.000000019,0.000000010,0.194574841,0.000000273,-0.000000172,-1.097838850,0.026251017,0.774492692,-1.526826891,0.005360160,0.761540765,-1.544613480,-0.005360134,0.783072716,-1.544613483,-0.026250990,0.752334190,-1.526826874,0.631705464,-0.395023692,1.723347497,0.677373723,-0.923423439,0.971652666,-0.677374328,-0.048228653,0.971652396,-0.631706070,-1.328323111,1.723346973
0.133333333,0.000000001,0.000000001,0.309344817,0.999728977,-0.000000004,-0.000000000,-0.023280314,0.000000023,0.000000012,0.261349287,0.000000386,-0.000000242,-1.388529589,0.038147711,0.766602508,-1.493193299,0.018294645,0.743707284,-1.525388087,-0.018294632,0.781680815,-1.525388096,-0.038147698,0.726590796,-1.493193293,0.764898301,-0.579008574,2.335229511,0.850464588,-1.215450014,1.378754399,-0.850465457,-0.163303632,1.378754049,-0.764899173,-1.756220006,2.335228757
0.150000000,0.000000002,0.000000001,0.314288855,0.999358034,-0.000000001,-0.000000002,-0.035826250,0.000000026,0.000000014,0.332697567,0.000000422,-0.000000284,-1.612752658,0.051747627,0.755192406,-1.448985908,0.033708979,0.721025764,-1.498655000,-0.033708982,0.777629262,-1.498655015,-0.051747629,0.693793523,-1.448985915,0.836989947,-0.821803942,2.998519247,0.876417977,-0.401497620,0.557350510,-0.876418922,-0.155852058,0.557350029,-0.836990937,-2.176714255,2.998518363
0.166666667,0.000000002,0.000000001,0.320460147,0.998751410,0.000000003,-0.000000005,-0.049956194,0.000000029,0.000000016,0.408619682,0.000000384,-0.000000294,-1.770508058,0.066047376,0.739209043,-1.393242658,0.047508578,0.730324030,-1.506809737,-0.047508596,0.776485747,-1.506809762,-0.066047396,0.654033654,-1.393242681,0.851418738,-1.133540064,3.728965475,0.657801784,2.210831375,-2.226787063,-0.657802582,0.015956453,-2.226787738,-0.851419692,-2.595424352,3.728964560
0.183333333,0.000000003,0.000000001,0.327934922,0.997877984,0.000000005,-0.000000007,-0.065111659,0.000000032,0.000000018,0.489115631,0.000000276,-0.000000265,-1.861795788,0.080128251,0.717407737,-1.324687059,0.055635705,0.794720144,-1.572881235,-0.055635735,0.778161144,-1.572881273,-0.080128286,0.607279378,-1.324687096,0.814555255,-1.528341733,4.551744397,0.275750571,4.901074625,-4.687273846,-0.275751033,-0.213800244,-4.687274614,-0.814556015,-3.023401706,4.551743555
