time,base_x,base_y,base_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11
0.000000000,0.000000000,0.000000000,0.300000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.010817309,0.786541222,-1.573082444,-0.010817309,0.786541222,-1.573082444,0.059448328,-0.226844503,0.165547769,0.060921999,-0.175418200,0.103133578,0.084460655,-0.590666647,0.893233574,0.093594892,-0.523169655,0.798369496
0.016666667,0.000755304,-0.000363850,0.301230170,0.999997164,-0.000019866,0.002373319,0.000195926,0.090253826,-0.041349442,0.140878111,0.003782748,0.531351857,0.045261178,0.011808114,0.782760480,-1.570323314,-0.009801942,0.783617585,-1.571363551,0.012224986,0.776696778,-1.558195218,-0.009257394,0.777821728,-1.559776285,0.088257301,-0.384531260,0.337969003,0.091374617,-0.287076060,0.217178956,0.132785264,-1.023230552,1.614225401,0.148978631,-0.896458879,1.432952204
0.033333333,0.002995705,-0.001301229,0.304471194,0.999965945,0.000204666,0.008218435,0.000724059,0.178211586,-0.068823487,0.241302492,0.058648365,0.833300317,0.079188710,0.013759219,0.773723513,-1.561816810,-0.007771488,0.776972020,-1.565843145,0.015243484,0.752433537,-1.519274930,-0.005851354,0.756659259,-1.525317370,0.099866946,-0.599462563,0.697082966,0.106621010,-0.417911246,0.465460021,0.175148185,-1.659574232,2.806665969,0.202460320,-1.425441269,2.463316540
0.050000000,0.006682934,-0.002580881,0.309048843,0.999876234,0.001098866,0.015623792,0.001485517,0.263873281,-0.082422137,0.301273146,0.164820016,0.906091530,0.099440952,0.015137012,0.762778395,-1.547087215,-0.006247908,0.769687210,-1.555848217,0.018063259,0.721377637,-1.464639685,-0.002508717,0.730307019,-1.477665734,0.019576430,-0.615726889,1.089958528,0.030605780,-0.364721091,0.758558084,0.111889450,-1.837520543,3.493273436,0.144572604,-1.514860972,3.005893992
0.066666667,0.011778725,-0.003971548,0.314288889,0.999735192,0.003092335,0.022679676,0.002369562,0.347238909,-0.082145392,0.320790070,0.323273233,0.750070686,0.103959074,0.014411766,0.753199284,-1.525484859,-0.006751295,0.764814650,-1.540557876,0.018973133,0.691182852,-1.402832482,-0.001032268,0.706163893,-1.425120904,-0.151963386,-0.437761042,1.527768010,-0.136487308,-0.128120899,1.105198103,-0.049537411,-1.541252979,3.641301996,-0.016846808,-1.141734071,3.023058236
0.083333333,0.018244809,-0.005241975,0.319517103,0.999595093,0.006623621,0.027478998,0.003268378,0.428308471,-0.067993250,0.299853266,0.535470658,0.365596075,0.092949028,0.010071566,0.748186360,-1.496161615,-0.010797485,0.765416514,-1.519008280,0.016412012,0.670002537,-1.343262952,-0.003070277,0.692249216,-1.376897126,-0.412977728,-0.073209191,2.024284685,-0.394165169,0.290391374,1.514788914,-0.300474398,-0.729719933,3.187378803,-0.273284574,-0.260175767,2.454699871
0.100000000,0.026042918,-0.006160904,0.324059255,0.999522455,0.012142295,0.028116690,0.004108298,0.507081966,-0.039965712,0.238462733,0.803176819,-0.247047355,0.070857839,0.000645842,0.750758977,-1.458008703,-0.019890134,0.774494363,-1.490064912,0.008957319,0.666858854,-1.296586522,-0.010141753,0.697491368,-1.343297575,-0.739523417,0.433265796,2.570544320,-0.642772740,0.990557148,0.773232355,-0.492493735,0.820940317,0.649822042,-0.598712222,1.085935825,1.357094577
0.116666667,0.035154921,-0.006532366,0.327406323,0.999517541,0.019812296,0.023412624,0.004899799,0.587183890,-0.004414216,0.166355494,1.020609332,-0.827244118,0.055457348,-0.014579214,0.762628553,-1.410476804,-0.032223243,0.798435085,-1.493233868,-0.000004446,0.697367215,-1.321602217,-0.023027351,0.728447077,-1.331660640,-1.025108970,0.922728205,3.047205519,-0.592996065,1.933849520,-3.606175348,-0.213717683,2.805353018,-6.160199297,-0.890798908,2.437879945,0.259760104
0.133333333,0.045643231,-0.006301531,0.329710107,0.999460277,0.028614880,0.015084646,0.005726858,0.672238737,0.032309802,0.113268571,1.079098036,-1.115172101,0.054959763,-0.033524457,0.781516584,-1.356435186,-0.039656670,0.838956013,-1.610270757,0.001833396,0.760370622,-1.501926499,-0.039835050,0.778754033,-1.334638905,-1.166903391,1.258675442,3.318170552,-0.274371989,2.061908944,-8.340419204,0.476967698,3.091817396,-12.013955910,-1.051883960,3.286221252,-0.267304821
0.150000000,0.057590395,-0.005448858,0.331287611,0.999269636,0.037223070,0.005572048,0.006602292,0.762246507,0.070206341,0.079201964,0.976326701,-1.111686354,0.057891374,-0.053475994,0.804584401,-1.299871119,-0.041368976,0.867165383,-1.771247842,0.015894478,0.800427794,-1.722067414,-0.058090150,0.837987785,-1.340570801,-1.148894476,1.441997051,3.341352184,0.045293072,0.798756942,-9.091662385,1.150752453,0.843998423,-11.846721505,-1.066217559,3.483247330,-0.092626346
