time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0,0,0,0.3,0,0,0,1,0,0,0,0,0,0,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
0.02,0.000345099,-0.000293168,0.30086,-0.000782161,0.0043183,-0.000254944,0.99999,0.0340647,-0.02766,0.0837031,-0.141832,0.792611,-0.0387202,0.0137146,0.781687,-1.57789,-0.00797615,0.781471,-1.57836,0.0129438,0.771126,-1.55671,-0.00851465,0.770556,-1.55645,0.144862,-0.242694,-0.240514,0.142058,-0.25349,-0.263857,0.106325,-0.770763,0.818603,0.115133,-0.79928,0.83145,1,1,1,1,
0.04,0.00134478,-0.00104013,0.303255,-0.0025483,0.0144299,-0.000527682,0.999892,0.0654586,-0.0453794,0.153469,-0.196639,1.15878,-0.00388112,0.0202126,0.769286,-1.58663,-0.00159073,0.769016,-1.58809,0.0183107,0.733737,-1.51488,-0.00272849,0.732686,-1.51467,0.324903,-0.620065,-0.436729,0.319271,-0.62277,-0.486484,0.268346,-1.86944,2.09139,0.289308,-1.8935,2.0891,1,1,1,1,
0.06,0.00294564,-0.00204207,0.306906,-0.00444852,0.0260654,-9.96789e-05,0.99965,0.0941815,-0.0531581,0.209296,-0.16665,1.09814,0.0997816,0.0269941,0.752684,-1.59084,0.00511244,0.753427,-1.59318,0.0253658,0.687492,-1.45843,0.00483512,0.687811,-1.45983,0.339072,-0.830124,-0.210411,0.335159,-0.779434,-0.254488,0.352755,-2.31224,2.82251,0.378181,-2.24372,2.74212,1,1,1,1,
0.08,0.00509424,-0.00310018,0.311534,-0.00566419,0.0349526,0.00168631,0.999371,0.120234,-0.0509961,0.251187,-0.0519091,0.610913,0.265527,0.0307009,0.735561,-1.58219,0.00889408,0.739282,-1.58459,0.0325746,0.645599,-1.3989,0.0125362,0.650833,-1.40487,0.185344,-0.856119,0.432475,0.189082,-0.70725,0.429693,0.360439,-2.09468,2.97682,0.385054,-1.84892,2.74782,1,1,1,1,
0.1,0.00773717,-0.00401564,0.316861,-0.00536189,0.0368307,0.00544577,0.999292,0.143615,-0.0388934,0.279139,0.15615,-0.300829,0.491978,0.0280534,0.721688,-1.55204,0.00662983,0.731093,-1.55293,0.0384973,0.62182,-1.34922,0.0189011,0.637305,-1.36432,-0.132378,-0.693637,1.50728,-0.113213,-0.409442,1.58283,0.296136,-1.18896,2.48399,0.318245,-0.676393,2.02776,1,1,1,1,
0.12,0.0108278,-0.00459794,0.322606,-0.00277404,0.0289779,0.0114623,0.99951,0.165346,-0.0180937,0.292962,0.414228,-1.1792,0.674033,0.0169881,0.713153,-1.49414,-0.00362273,0.730867,-1.49167,0.0466694,0.648156,-1.37936,0.0226314,0.658403,-1.34935,-0.553266,-0.426776,2.89508,-0.512628,-0.0113313,3.06311,0.408602,1.31681,-1.5073,0.186514,1.05492,0.748149,1,1,0,1,
0.14,0.0143468,-0.0046897,0.328484,0.00222936,0.0147501,0.018595,0.999716,0.18645,0.0101594,0.292464,0.656403,-1.56904,0.705872,-0.000765475,0.707415,-1.41566,-0.0202908,0.734093,-1.40933,0.0715139,0.751278,-1.60332,0.0222124,0.703654,-1.35237,-0.887677,-0.286914,3.92399,-0.833403,0.161284,4.11695,1.24223,5.15608,-11.1981,-0.0209495,2.26251,-0.150819,1,1,0,1,
0.16,0.0182816,-0.00414187,0.334209,0.00945594,-0.00099142,0.0253188,0.999634,0.206925,0.0458658,0.277644,0.858562,-1.47314,0.585977,-0.0229248,0.701585,-1.32842,-0.0414087,0.73616,-1.31952,0.102344,0.833497,-1.81413,0.0157929,0.756392,-1.36041,-1.10797,-0.291499,4.36215,-1.05589,0.103351,4.49024,1.54149,4.11096,-10.5403,-0.320976,2.6369,-0.402072,1,1,0,1,
0.18,0.0226196,-0.00280538,0.339494,0.0184856,-0.0134345,0.030002,0.999289,0.226771,0.0890255,0.248503,0.998225,-0.897386,0.304702,-0.0477207,0.694528,-1.24685,-0.065559,0.734917,-1.23851,0.107205,0.855418,-1.86392,0.00104032,0.799026,-1.36063,-1.23979,-0.35282,4.0785,-1.20752,-0.0621126,4.05044,0.243051,1.09605,-2.48969,-0.737628,2.13172,-0.0110438,1,1,0,1,
